id,mis,count
1,51,8
2,52,30
3,52,8
4,51,17
5,56,1
6,53,7
7,55,2
8,53,3
9,52,14
10,55,4
11,53,11
12,49,15
13,51,16
14,51,4
15,52,29
16,53,2
17,58,1
18,55,1
19,53,2
20,54,8
21,57,3
22,52,9
23,51,13
24,53,5
25,53,3
26,54,1
27,53,5
28,53,1
29,54,3
30,53,18
31,53,5
32,55,1
33,52,2
34,51,24
35,52,2
36,53,8
37,54,4
38,54,2
39,52,5
40,54,3
41,58,1
42,52,24
43,49,16
44,55,2
45,48,40
46,54,2
47,52,2
48,53,8
49,55,1
50,53,2
51,51,16
52,54,1
53,51,17
54,50,15
55,53,4
56,52,6
57,51,9
58,54,2
59,53,4
60,53,36
61,54,5
62,52,16
63,52,4
64,47,93
65,55,1
66,54,1
67,57,1
68,57,4
69,53,13
70,57,1
71,53,21
72,52,2
73,56,1
74,56,3
75,56,1
76,51,16
77,55,5
78,52,11
79,53,5
80,54,2
81,52,7
82,52,12
83,49,27
84,55,2
85,53,8
86,52,8
87,51,9
88,53,3
89,50,21
90,54,3
91,54,1
92,49,20
93,52,11
94,50,6
95,50,43
96,56,1
97,54,14
98,53,4
99,54,4
100,52,6
101,49,69
102,54,7
103,53,11
104,53,9
105,53,6
106,59,1
107,47,78
108,53,1
109,52,7
110,53,5
111,56,1
112,54,3
113,56,3
114,53,2
115,57,1
116,52,8
117,54,2
118,52,6
119,52,2
120,53,7
121,54,6
122,54,3
123,53,6
124,53,10
125,56,1
126,54,4
127,52,9
128,54,1
129,53,1
130,56,2
131,56,2
132,53,6
133,53,2
134,54,3
135,49,41
136,51,7
137,52,8
138,54,2
139,56,3
140,56,1
141,58,1
142,54,9
143,52,7
144,50,20
145,51,10
146,53,2
147,53,3
148,52,10
149,53,2
150,56,6
151,57,1
152,53,2
153,50,17
154,56,1
155,55,2
156,53,5
157,53,10
158,58,1
159,53,22
160,54,6
161,57,1
162,53,2
163,53,8
164,52,7
165,52,3
166,55,5
167,55,1
168,53,11
169,57,1
170,48,68
171,52,8
172,53,3
173,55,1
174,49,23
175,53,6
176,56,4
177,55,1
178,50,19
179,55,3
180,55,6
181,53,3
182,53,7
183,52,8
184,50,24
185,52,15
186,55,1
187,50,8
188,52,11
189,52,5
190,59,1
191,56,6
192,50,11
193,49,32
194,56,1
195,54,1
196,55,3
197,53,2
198,52,19
199,54,1
200,55,3
201,52,6
202,51,2
203,55,3
204,51,23
205,49,33
206,53,5
207,52,6
208,56,6
209,53,2
210,54,2
211,54,1
212,47,68
213,53,2
214,50,27
215,51,8
216,58,1
217,53,19
218,55,4
219,56,1
220,54,9
221,55,20
222,58,1
223,55,3
224,49,26
225,49,39
226,52,2
227,54,1
228,53,3
229,53,3
230,52,25
231,53,8
232,53,1
233,51,2
234,52,17
235,54,3
236,53,10
237,48,24
238,54,2
239,53,9
240,52,24
241,52,11
242,55,1
243,51,9
244,56,12
245,52,23
246,53,1
247,52,20
248,57,1
249,53,4
250,53,8
251,54,1
252,54,1
253,53,1
254,51,32
255,53,3
256,51,12
257,52,8
258,52,11
259,54,2
260,52,38
261,54,1
262,53,2
263,48,76
264,51,4
265,52,5
266,51,17
267,55,1
268,52,13
269,50,14
270,52,14
271,55,1
272,54,4
273,56,1
274,50,31
275,50,31
276,53,5
277,49,20
278,54,1
279,52,13
280,53,5
281,49,65
282,56,1
283,55,9
284,51,12
285,53,10
286,52,7
287,52,11
288,52,17
289,58,1
290,56,2
291,55,1
292,55,3
293,53,5
294,54,3
295,53,10
296,53,11
297,52,8
298,51,6
299,53,2
300,56,3
301,54,4
302,57,1
303,50,5
304,52,11
305,53,4
306,52,16
307,54,6
308,56,1
309,55,1
310,50,8
311,53,4
312,53,2
313,53,6
314,53,12
315,49,17
316,50,5
317,55,3
318,54,1
319,55,1
320,54,3
321,52,7
322,56,1
323,56,1
324,58,1
325,53,17
326,55,1
327,54,1
328,54,2
329,54,1
330,57,1
331,53,3
332,53,1
333,51,3
334,50,35
335,51,32
336,55,11
337,49,44
338,55,5
339,53,7
340,57,1
341,55,1
342,53,5
343,51,8
344,55,2
345,52,16
346,54,1
347,53,11
348,56,6
349,51,3
350,51,8
351,53,1
352,52,4
353,53,4
354,52,6
355,51,10
356,54,3
357,53,5
358,56,2
359,56,1
360,54,6
361,55,6
362,52,6
363,54,4
364,54,2
365,58,1
366,56,1
367,50,30
368,58,1
369,55,1
370,52,2
371,51,13
372,51,18
373,53,2
374,56,4
375,53,9
376,52,10
377,52,6
378,52,7
379,48,35
380,49,9
381,52,15
382,59,1
383,53,4
384,56,2
385,52,12
386,52,9
387,52,6
388,54,1
389,55,1
390,48,95
391,53,34
392,55,1
393,56,5
394,55,3
395,52,33
396,54,8
397,56,1
398,58,2
399,52,13
400,53,2
401,53,2
402,50,24
403,52,5
404,57,1
405,53,2
406,57,1
407,53,7
408,49,88
409,52,4
410,51,21
411,48,43
412,56,2
413,50,2
414,57,1
415,54,1
416,54,7
417,55,1
418,53,8
419,54,1
420,53,8
421,54,1
422,54,5
423,54,3
424,50,20
425,52,2
426,53,3
427,49,34
428,54,1
429,53,4
430,51,15
431,52,9
432,53,3
433,50,29
434,55,1
435,52,33
436,52,3
437,52,17
438,51,4
439,52,57
440,55,2
441,50,13
442,53,1
443,55,10
444,51,10
445,51,23
446,54,16
447,51,9
448,54,6
449,53,31
450,54,2
451,53,1
452,51,12
453,57,3
454,54,8
455,55,1
456,53,16
457,52,1
458,53,6
459,56,1
460,54,2
461,57,1
462,52,2
463,52,5
464,52,3
465,55,1
466,54,11
467,51,16
468,52,8
469,53,4
470,53,6
471,52,6
472,53,3
473,54,1
474,53,3
475,50,16
476,54,3
477,54,1
478,57,2
479,53,2
480,54,1
481,52,8
482,53,1
483,57,1
484,51,62
485,54,3
486,57,2
487,54,1
488,52,24
489,54,18
490,58,1
491,56,2
492,51,13
493,50,23
494,56,3
495,53,8
496,53,8
497,55,5
498,55,2
499,52,8
500,56,1
501,53,10
502,52,16
503,53,8
504,58,1
505,52,2
506,52,4
507,56,1
508,53,5
509,54,4
510,52,12
511,53,1
512,58,1
513,56,1
514,54,2
515,53,3
516,52,9
517,54,10
518,56,2
519,51,5
520,54,2
521,56,1
522,52,13
523,54,1
524,52,10
525,54,2
526,53,1
527,57,3
528,52,23
529,54,2
530,49,85
531,52,3
532,53,2
533,54,1
534,53,5
535,54,5
536,51,2
537,53,10
538,53,3
539,54,1
540,52,2
541,58,1
542,50,91
543,56,1
544,54,1
545,54,2
546,50,13
547,49,26
548,55,1
549,52,4
550,51,24
551,50,4
552,53,8
553,50,7
554,52,5
555,54,3
556,56,1
557,52,1
558,56,1
559,53,9
560,55,5
561,51,33
562,52,2
563,53,2
564,53,3
565,55,5
566,54,2
567,52,5
568,52,3
569,55,2
570,50,8
571,53,35
572,54,5
573,50,26
574,50,17
575,54,1
576,50,34
577,56,1
578,50,6
579,54,5
580,51,11
581,52,8
582,50,6
583,54,2
584,55,4
585,53,2
586,54,14
587,50,3
588,55,6
589,52,18
590,49,219
591,56,1
592,50,56
593,54,1
594,50,87
595,52,6
596,50,5
597,52,35
598,56,1
599,49,36
600,53,12
601,54,5
602,53,1
603,51,1
604,56,2
605,51,13
606,55,3
607,53,5
608,54,2
609,56,1
610,56,2
611,50,53
612,52,18
613,53,3
614,52,4
