id,mis,count
1,59,1
2,58,13
3,61,3
4,59,2
5,59,4
6,56,15
7,62,1
8,60,3
9,62,1
10,64,1
11,59,6
12,55,32
13,57,5
14,58,4
15,59,2
16,56,9
17,63,1
18,60,1
19,59,1
20,59,3
21,59,3
22,59,1
23,59,5
24,62,1
25,58,9
26,65,1
27,58,2
28,61,1
29,59,1
30,53,49
31,59,5
32,63,1
33,57,2
34,60,2
35,59,2
36,59,2
37,59,6
38,63,1
39,60,2
40,55,13
41,62,1
42,59,1
43,56,10
44,60,2
45,59,2
46,61,1
47,60,2
48,58,2
49,61,2
50,58,8
51,57,6
52,56,8
53,59,1
54,55,30
55,59,1
56,56,9
57,57,25
58,59,6
59,57,2
60,59,4
61,62,3
62,58,1
63,57,6
64,55,117
65,62,1
66,61,1
67,60,3
68,59,3
69,60,8
70,59,1
71,59,4
72,58,6
73,59,2
74,60,1
75,64,1
76,58,1
77,62,1
78,57,3
79,62,2
80,56,10
81,56,10
82,61,2
83,60,3
84,57,5
85,60,8
86,61,1
87,59,1
88,58,4
89,57,11
90,59,5
91,57,6
92,59,1
93,58,4
94,57,26
95,59,2
96,62,1
97,58,1
98,59,5
99,59,2
100,59,2
101,58,13
102,60,1
103,62,2
104,66,1
105,58,19
106,64,1
107,56,9
108,58,6
109,58,5
110,58,4
111,58,7
112,60,3
113,62,1
114,61,1
115,57,9
116,56,17
117,60,2
118,58,3
119,63,1
120,61,1
121,62,1
122,58,3
123,60,1
124,60,1
125,63,1
126,61,1
127,59,2
128,63,1
129,59,2
130,60,10
131,60,4
132,56,6
133,62,1
134,58,3
135,57,9
136,59,1
137,62,4
138,61,1
139,59,16
140,62,1
141,61,1
142,62,1
143,61,1
144,56,7
145,56,5
146,59,1
147,62,1
148,56,43
149,62,6
150,61,1
151,63,2
152,59,4
153,58,9
154,61,5
155,62,1
156,64,1
157,63,2
158,61,3
159,59,4
160,66,1
161,61,1
162,60,6
163,57,2
164,61,1
165,61,4
166,53,13
167,62,1
168,62,3
169,61,1
170,55,23
171,58,3
172,62,2
173,62,1
174,59,2
175,63,1
176,60,5
177,58,9
178,58,3
179,59,14
180,62,1
181,60,1
182,60,7
183,60,7
184,55,9
185,61,1
186,57,4
187,58,1
188,60,1
189,61,1
190,63,1
191,64,1
192,56,4
193,58,4
194,59,4
195,59,1
196,58,2
197,63,1
198,62,1
199,63,1
200,63,1
201,59,6
202,58,12
203,61,3
204,58,11
205,56,28
206,65,1
207,62,1
208,65,1
209,60,1
210,61,1
211,61,3
212,59,3
213,62,1
214,60,2
215,61,1
216,64,1
217,60,8
218,61,1
219,59,1
220,62,1
221,62,2
222,62,1
223,56,8
224,56,2
225,59,1
226,60,4
227,59,4
228,61,4
229,55,13
230,59,2
231,58,17
232,58,6
233,59,1
234,58,3
235,62,2
236,64,1
237,57,7
238,60,2
239,61,5
240,58,12
241,61,4
242,59,2
243,60,10
244,60,6
245,63,1
246,57,1
247,58,3
248,61,1
249,61,1
250,59,2
251,58,1
252,56,11
253,61,2
254,57,10
255,62,1
256,63,1
257,59,6
258,59,1
259,62,1
260,62,1
261,58,5
262,59,2
263,58,11
264,57,8
265,62,1
266,63,1
267,57,21
268,59,1
269,55,17
270,65,1
271,60,9
272,61,3
273,59,3
274,57,5
275,56,5
276,61,1
277,59,1
278,60,2
279,57,9
280,55,27
281,58,2
282,61,3
283,61,1
284,59,3
285,57,4
286,60,4
287,59,1
288,58,12
289,59,9
290,57,2
291,60,1
292,58,5
293,60,2
294,60,1
295,60,1
296,58,7
297,57,6
298,56,5
299,59,2
300,61,1
301,62,1
302,64,1
303,56,6
304,57,2
305,59,5
306,58,10
307,60,1
308,59,4
309,58,5
310,58,1
311,59,7
312,63,1
313,57,2
314,60,1
315,59,3
316,57,5
317,59,4
318,62,1
319,62,3
320,63,1
321,58,9
322,61,6
323,61,1
324,60,1
325,58,6
326,62,1
327,64,1
328,63,1
329,58,3
330,62,1
331,60,4
332,59,2
333,58,2
334,58,3
335,59,2
336,62,1
337,57,15
338,60,2
339,57,10
340,60,4
341,60,4
342,61,1
343,59,3
344,61,2
345,54,26
346,63,1
347,63,1
348,60,4
349,63,2
350,57,10
351,60,6
352,57,3
353,61,1
354,60,2
355,58,2
356,60,1
357,63,1
358,60,2
359,63,1
360,59,3
361,65,1
362,58,6
363,63,1
364,61,3
365,64,1
366,63,1
367,58,3
368,60,1
369,59,4
370,63,1
371,58,4
372,57,3
373,57,12
374,61,1
375,63,1
376,59,3
377,59,1
378,62,1
379,54,40
380,56,6
381,57,7
382,61,1
383,57,6
384,61,1
385,62,1
386,59,7
387,59,6
388,62,1
389,59,1
390,56,7
391,56,8
392,60,1
393,62,1
394,64,1
395,57,10
396,64,1
397,62,1
398,63,1
399,57,3
400,60,1
401,61,1
402,59,3
403,57,6
404,60,2
405,54,25
406,57,8
407,63,1
408,54,26
409,58,3
410,60,4
411,56,10
412,61,3
413,58,2
414,63,1
415,57,10
416,61,1
417,63,1
418,58,3
419,63,2
420,58,8
421,63,1
422,58,17
423,62,1
424,62,2
425,59,6
426,60,1
427,57,16
428,58,4
429,61,1
430,57,2
431,57,2
432,59,4
433,58,6
434,59,5
435,60,4
436,58,6
437,59,4
438,60,1
439,57,5
440,61,1
441,59,4
442,60,4
443,58,2
444,59,3
445,58,13
446,60,1
447,57,10
448,61,1
