id,mis,count
1,77,49950
2,79,36214
3,83,2658
4,80,7670
5,81,6813
6,83,3820
7,81,9599
8,83,1058
9,83,8315
10,79,18476
11,81,5012
12,78,54311
13,83,3519
14,78,29748
15,76,84161
16,81,10721
17,81,5466
18,85,983
19,78,32097
20,82,5828
21,84,979
22,80,10715
23,82,7288
24,80,10830
25,80,11142
26,77,37215
27,77,22080
28,82,2504
29,78,16824
30,79,25645
31,79,12365
32,80,29784
33,77,141360
34,84,1487
35,82,8377
36,75,90158
37,80,14211
38,84,2798
39,79,7605
40,83,4917
41,78,29607
42,81,2642
43,79,13442
44,79,12654
45,76,81435
46,83,2669
47,78,32423
48,81,14168
49,77,35733
50,77,85322
51,82,4390
52,83,13154
53,78,15172
54,75,32596
55,83,4348
56,79,9585
57,81,9615
58,85,1998
59,78,24976
60,79,9532
61,80,5189
62,78,34824
63,80,46687
64,80,9171
65,79,15444
66,82,5379
67,84,323
68,83,2690
69,81,7333
70,80,5406
71,83,11676
72,78,26138
73,84,2630
74,82,3413
75,82,3718
76,81,5741
77,76,52919
78,76,125796
79,83,2836
80,78,25571
81,78,30129
82,82,8537
83,80,16581
84,81,13818
85,78,36611
86,87,323
87,80,10399
88,84,1582
89,83,3872
90,79,18317
91,79,10494
92,78,41507
93,83,7291
94,83,1813
95,81,10231
96,83,1131
97,81,8840
98,83,4074
99,76,74246
100,81,15429
101,80,13734
102,81,5179
103,82,3374
104,84,2665
105,81,25045
106,77,32992
107,78,47834
108,81,6429
109,78,18371
110,80,7374
111,85,2369
112,79,30195
113,83,1992
114,81,8397
115,82,4613
116,85,1107
117,78,19792
118,81,8968
119,80,12258
120,79,17937
121,79,24266
122,79,8988
123,78,27561
124,81,7857
125,85,2632
126,82,4665
127,81,6401
128,79,12380
129,80,28227
130,86,252
131,84,815
132,79,47430
133,82,10139
134,79,46764
135,79,20016
136,81,5033
137,79,14083
138,82,7412
139,81,17708
140,83,9633
141,80,15956
142,82,4889
143,83,1858
144,80,9493
145,78,31054
146,80,10091
147,82,6917
148,80,7657
149,79,15457
150,86,1584
151,83,8066
152,83,3915
153,79,43564
154,82,8245
155,78,63503
156,79,24561
157,80,19318
158,82,7831
159,80,14415
160,78,20784
161,81,4301
162,79,12075
163,81,10114
164,79,26301
165,81,8048
166,83,6800
167,82,9481
168,84,3150
169,85,637
170,78,42190
171,80,41607
172,79,10995
173,81,8503
174,79,15565
175,84,2117
176,80,19338
177,80,15135
178,77,47929
179,80,12654
180,80,11547
181,83,6397
182,80,7555
183,78,27800
184,80,14868
185,79,25038
186,76,86044
187,79,19143
188,82,16730
189,81,6425
190,81,8611
191,85,1136
192,81,9989
193,84,2168
194,77,58907
195,80,10748
196,82,10828
197,82,14970
198,80,13027
199,82,6014
200,81,13860
201,80,21822
202,85,889
203,81,28352
204,79,12481
205,81,6449
206,82,4920
207,82,1501
208,82,1529
209,78,59215
210,81,9967
211,81,7949
212,79,20688
213,81,4939
214,82,7360
215,80,5321
216,81,11984
217,80,9515
218,80,22349
219,83,6755
220,84,6483
221,81,8390
222,81,5150
223,82,8404
224,77,31186
225,79,16937
226,79,16021
227,82,2522
228,82,5860
229,78,30951
230,81,14709
231,79,23583
232,79,13524
233,82,14642
234,81,8160
235,81,9634
236,81,6698
237,75,202836
238,80,10816
239,81,7745
240,78,56180
241,83,4605
242,76,83928
243,81,19248
244,80,13789
245,83,4540
246,84,2642
247,80,47962
248,80,14759
249,83,3827
250,80,13504
251,80,5497
252,79,13796
253,79,31127
254,79,24557
255,82,7758
256,84,2454
257,77,100709
258,83,2648
259,80,16277
260,78,29444
261,79,16447
262,80,10069
263,82,7084
264,82,9859
265,81,8831
266,79,15139
267,80,5577
268,81,9659
269,81,26328
270,80,10031
271,83,2183
272,81,6310
273,79,37164
274,77,47764
275,84,1161
276,80,14969
277,82,2050
278,80,15522
279,79,33949
280,81,15615
281,81,7349
282,77,21319
283,82,10065
284,83,5001
285,81,7698
286,80,9996
287,79,9614
288,82,4010
289,87,2351
290,80,14118
291,80,22480
292,80,19435
293,84,4791
294,82,17082
295,78,32270
296,79,25008
297,79,12965
298,78,39507
299,83,3536
300,83,2554
301,80,13199
302,84,2891
303,81,3161
304,79,9510
305,79,25633
306,79,11835
307,83,5940
308,82,10228
309,80,16416
310,79,11688
311,81,6327
312,80,24201
313,80,10381
314,78,82974
315,80,24716
316,80,13135
317,84,2263
318,82,7205
319,81,6051
320,81,14855
321,79,10743
322,79,18478
323,79,16619
324,78,63549
325,81,12141
326,85,1975
327,82,5671
328,82,11151
329,80,30188
330,80,28603
331,81,9726
332,80,24299
333,78,28467
334,81,6736
335,80,13407
336,80,13307
337,79,18991
338,81,6985
339,80,4137
340,82,4840
341,81,7483
342,82,9558
343,82,7016
344,88,341
345,78,36873
346,82,9320
347,80,12291
348,81,11795
349,80,7519
350,80,8557
351,84,2054
352,80,8345
353,82,8777
354,78,10159
355,80,14173
356,81,7664
357,87,921
358,81,11957
359,79,27023
360,83,2614
361,82,8336
362,79,25954
363,79,18802
364,82,2653
365,80,14334
366,81,24606
367,81,9615
368,83,603
369,77,35734
370,79,23292
371,82,4293
372,81,6184
373,79,17205
374,82,3143
375,82,9184
376,81,7714
377,83,761
378,82,2648
379,79,10390
380,78,37455
381,83,1891
382,81,27712
383,79,39785
384,81,2579
385,82,7790
386,81,8231
387,80,56687
388,81,5024
389,81,9918
390,81,8677
391,76,67770
392,81,7907
393,83,5768
394,81,10185
395,79,15323
396,81,5169
397,83,4464
398,81,15620
399,82,3261
400,84,3135
401,81,5799
402,80,5895
403,82,1550
404,82,3883
405,80,10708
406,80,13830
407,77,94702
408,79,21697
409,80,30005
410,82,5168
411,81,28131
412,80,13473
413,81,8272
414,79,12811
415,81,8985
416,81,11873
417,80,6495
418,79,10925
419,80,7705
420,78,17940
421,81,9062
422,82,1696
423,82,2031
424,81,5984
425,78,24332
426,86,873
427,79,14739
428,80,19350
429,86,1393
430,78,24232
431,78,57362
432,78,31964
433,76,97844
434,83,8915
435,80,18567
436,78,29213
437,80,6690
438,78,29953
439,76,36072
440,83,3412
441,83,3715
442,80,6075
443,79,22329
444,80,15572
445,82,5378
446,81,3264
447,81,4399
448,79,25765
449,77,51356
450,82,3970
451,75,46007
452,78,33730
453,82,3620
454,82,2422
455,79,48034
456,82,3097
457,81,22337
458,79,18617
459,81,8554
460,80,12259
461,83,2422
462,81,4332
463,78,46667
464,80,15800
465,83,1820
466,79,16147
467,81,3825
468,82,1497
469,78,25771
470,80,9564
471,85,2948
472,80,15907
473,80,17977
474,78,49450
475,78,28245
476,81,5466
477,80,9344
478,85,2008
479,78,58280
480,83,8919
481,80,8910
482,80,7639
483,82,2539
484,80,18167
485,76,139281
486,81,5177
487,80,17809
488,78,77621
489,80,17223
490,79,19375
491,85,662
492,78,35659
493,81,6112
494,82,5559
495,82,22051
496,81,4954
497,82,3125
498,82,4731
499,76,68790
500,81,3268
501,82,6564
502,79,29017
503,83,2038
504,82,3758
505,79,26540
506,79,31007
507,82,2455
508,79,11267
509,82,2731
510,82,2266
511,82,3463
512,82,3361
513,84,1253
514,79,78776
515,84,3128
516,81,3243
517,79,8488
518,80,11241
519,82,4517
520,80,28267
521,80,10314
522,81,16138
523,81,3087
524,77,31401
525,80,8793
526,79,20716
527,84,1530
528,80,19621
529,82,4906
530,79,23364
531,81,4418
532,79,30110
533,80,5820
534,82,3917
535,78,57142
536,81,4628
537,79,24041
538,78,14829
539,80,11559
540,79,11606
541,85,667
542,80,12085
543,80,9493
544,81,5621
545,78,22081
546,79,28380
547,80,8387
548,82,8654
549,80,10205
550,81,10049
551,81,7321
552,82,1608
553,83,5029
554,78,37311
555,78,32733
556,82,5310
557,84,5256
558,80,10200
559,83,6202
560,84,3584
561,79,45673
562,76,63719
563,81,6753
564,76,67594
565,78,50392
566,80,26036
567,85,1688
568,83,1009
569,82,19656
570,81,23912
571,81,10304
572,80,9563
573,80,27182
574,78,79928
575,80,3993
576,80,22252
577,82,5909
578,78,26538
579,81,15367
580,78,16915
581,81,8825
582,81,10391
583,83,4508
584,83,3222
585,77,48042
586,79,24550
587,81,12857
588,84,2608
589,79,24353
590,79,33762
591,79,21271
592,80,6511
593,80,10307
594,79,97525
595,78,26313
596,79,18244
597,82,1136
598,84,3599
599,76,32152
600,80,8402
601,81,7859
602,78,43166
603,80,28167
604,78,24591
605,78,25042
606,82,2784
607,79,37281
608,84,1654
609,80,23568
610,79,17915
611,79,8936
612,80,16455
613,80,25010
614,77,48834
615,78,49548
616,83,4960
617,79,10442
618,76,72451
619,78,30582
620,76,89512
621,81,43166
622,80,14266
623,80,37172
624,80,21072
625,77,111762
626,80,6457
627,79,35933
628,79,41058
629,78,25734
630,81,8045
631,77,40938
632,78,94896
633,78,56798
634,86,3035
635,80,16138
636,78,19693
637,82,4080
638,82,16678
639,80,7163
640,78,38196
641,83,3202
642,81,10638
643,85,1811
644,79,12386
645,78,12214
646,79,15248
647,80,83526
648,81,5936
649,85,813
650,76,65622
651,81,21623
652,79,17867
653,82,3273
654,80,9676
655,80,19363
656,81,11146
657,81,3649
658,84,8773
659,77,32395
660,83,2819
661,79,21718
662,78,40836
663,78,33325
664,81,7526
665,81,7920
666,76,36865
667,80,92676
668,79,38020
669,80,12428
670,79,26215
671,80,7594
672,79,46667
673,78,27978
674,79,21369
675,75,54030
676,84,2278
677,82,8289
678,84,1140
679,76,30586
680,80,9635
681,82,5663
682,81,10325
683,83,2102
684,80,10725
685,81,3089
686,77,45278
687,81,6666
688,79,13164
689,83,3111
690,75,224452
691,81,3943
692,78,30336
693,78,12612
694,79,50658
695,79,27838
696,81,12896
697,79,7487
698,77,47736
699,80,17668
700,77,99177
701,82,3534
702,77,57059
703,79,28038
704,80,10912
705,78,12350
706,76,78096
707,80,7131
708,84,780
709,84,1542
710,83,2683
711,75,258957
712,84,2545
713,80,25693
714,79,20547
715,78,26903
716,78,39128
717,80,5455
718,82,6876
719,79,14830
720,82,3706
721,75,58342
722,81,10964
723,78,21224
724,80,17729
725,82,19778
726,79,10297
727,80,23561
728,80,14931
729,81,6213
730,80,4505
731,79,15508
732,77,41012
733,83,7339
734,80,6644
735,80,16546
736,79,34348
737,82,9461
738,81,6351
739,81,25319
740,81,4166
741,83,2613
742,81,12036
743,78,35513
744,78,9664
745,82,7065
746,83,9992
747,77,112229
748,76,80525
749,80,8062
750,82,2423
751,84,1816
752,83,2420
753,81,7425
754,79,6326
755,79,44875
756,82,5093
757,81,20741
758,81,16796
759,80,9100
760,81,6859
761,80,17177
762,81,8293
763,80,9667
764,77,32464
765,79,18539
766,77,88062
767,82,3556
768,78,59099
769,84,3470
770,81,23329
771,80,24060
772,82,3852
773,79,31341
774,83,5756
775,78,30001
776,78,19040
777,79,11552
778,84,1242
779,80,6014
780,80,13111
781,82,12045
782,79,23340
783,79,16637
784,82,5486
785,79,11797
786,78,34805
787,83,5442
788,77,58593
789,80,11053
790,83,6517
791,81,4364
792,80,14697
793,82,10620
794,81,8847
795,86,1125
796,78,29079
797,83,1017
798,84,752
799,83,1562
800,83,8367
801,77,35177
802,86,1019
803,75,112123
804,80,7742
805,82,3632
806,81,10212
807,82,4436
808,82,3610
809,79,15328
810,79,12834
811,77,37182
812,82,5475
813,81,17870
814,82,11162
815,80,14657
816,81,12889
817,85,2947
818,80,24707
819,79,22269
820,78,41477
821,78,38787
822,80,4957
823,78,14254
824,82,3758
825,79,34940
826,80,23653
827,80,12779
828,81,5299
829,82,5762
830,80,10416
831,81,11866
832,80,14456
833,80,19047
834,78,172675
835,81,3917
836,80,12820
837,81,4686
838,78,10899
839,76,71114
840,75,105159
841,79,23893
842,79,27881
843,81,4682
844,80,22369
845,83,10762
846,79,102416
847,78,33562
848,78,14508
849,80,19933
850,79,18494
851,81,5286
852,80,5292
853,81,14801
854,78,34292
855,79,37457
