id,mis,count
1,77,50119
2,79,36314
3,83,2668
4,80,7678
5,81,6822
6,83,3822
7,81,9608
8,83,1131
9,83,8333
10,79,18501
11,81,5015
12,78,54476
13,83,3523
14,78,29811
15,76,84649
16,81,10747
17,81,5482
18,85,1487
19,78,32157
20,82,5837
21,84,1131
22,80,10743
23,82,7299
24,80,10852
25,80,11162
26,77,37330
27,77,22158
28,82,2505
29,78,16847
30,79,25671
31,79,12390
32,80,29900
33,77,141893
34,84,1487
35,82,8385
36,75,90518
37,80,14254
38,84,2802
39,79,7614
40,83,4917
41,78,29653
42,81,2653
43,79,13468
44,79,12669
45,76,81601
46,83,2675
47,78,32513
48,81,14192
49,77,35833
50,77,85598
51,82,4394
52,83,13182
53,78,15185
54,75,32650
55,83,4351
56,79,9596
57,81,9637
58,85,1999
59,78,25015
60,79,9547
61,80,5194
62,78,34929
63,80,46837
64,80,9181
65,79,15474
66,82,5383
67,84,1131
68,83,2690
69,81,7349
70,80,5420
71,83,11691
72,78,26172
73,84,2633
74,82,3421
75,82,3723
76,81,5746
77,76,53154
78,76,126213
79,83,2842
80,78,25624
81,78,30185
82,82,8542
83,80,16614
84,81,13863
85,78,36772
86,87,1131
87,80,10420
88,84,1585
89,83,3880
90,79,18352
91,79,10509
92,78,41619
93,83,7294
94,83,1813
95,81,10253
96,83,1131
97,81,8855
98,83,4077
99,76,74451
100,81,15457
101,80,13759
102,81,5196
103,82,3378
104,84,2670
105,81,25081
106,77,33083
107,78,47903
108,81,6436
109,78,18400
110,80,7388
111,85,2371
112,79,30268
113,83,1996
114,81,8408
115,82,4622
116,85,1107
117,78,19822
118,81,8983
119,80,12287
120,79,17986
121,79,24301
122,79,9008
123,78,27614
124,81,7868
125,85,2637
126,82,4670
127,81,6408
128,79,12400
129,80,28299
130,86,252
131,84,815
132,79,47556
133,82,10152
134,79,46862
135,79,20080
136,81,5044
137,79,14105
138,82,7431
139,81,17749
140,83,9658
141,80,15971
142,82,4894
143,83,1870
144,80,9505
145,78,31150
146,80,10117
147,82,6920
148,80,7669
149,79,15468
150,86,1591
151,83,8088
152,83,3916
153,79,43663
154,82,8258
155,78,63682
156,79,24600
157,80,19356
158,82,7864
159,80,14431
160,78,20830
161,81,4307
162,79,12087
163,81,10136
164,79,26428
165,81,8069
166,83,6811
167,82,9493
168,84,3152
169,85,636
170,78,42263
171,80,41813
172,79,11018
173,81,8527
174,79,15595
175,84,2120
176,80,19386
177,80,15161
178,77,48082
179,80,12691
180,80,11577
181,83,6410
182,80,7571
183,78,27878
184,80,14900
185,79,25079
186,76,86328
187,79,19174
188,82,16784
189,81,6432
190,81,8639
191,85,1136
192,81,10014
193,84,2168
194,77,59067
195,80,10766
196,82,10865
197,82,15008
198,80,13054
199,82,6049
200,81,13899
201,80,21861
202,85,889
203,81,28416
204,79,12504
205,81,6451
206,82,4931
207,82,1505
208,82,1530
209,78,59330
210,81,9990
211,81,7961
212,79,20718
213,81,4950
214,82,7366
215,80,5332
216,81,12015
217,80,9539
218,80,22408
219,83,6757
220,84,6515
221,81,8399
222,81,5164
223,82,8438
224,77,31228
225,79,16966
226,79,16046
227,82,2524
228,82,5875
229,78,31058
230,81,14730
231,79,23625
232,79,13563
233,82,14668
234,81,8177
235,81,9649
236,81,6711
237,75,203447
238,80,10828
239,81,7756
240,78,56430
241,83,4614
242,76,84180
243,81,19280
244,80,13814
245,83,4551
246,84,2648
247,80,48148
248,80,14804
249,83,3834
250,80,13529
251,80,5504
252,79,13814
253,79,31186
254,79,24615
255,82,7764
256,84,2455
257,77,101077
258,83,2652
259,80,16309
260,78,29563
261,79,16483
262,80,10088
263,82,7107
264,82,9890
265,81,8847
266,79,15163
267,80,5578
268,81,9693
269,81,26423
270,80,10055
271,83,2187
272,81,6319
273,79,37254
274,77,47897
275,84,1161
276,80,15015
277,82,2051
278,80,15541
279,79,34035
280,81,15652
281,81,7350
282,77,21353
283,82,10095
284,83,5005
285,81,7704
286,80,10036
287,79,9617
288,82,4014
289,87,2354
290,80,14143
291,80,22533
292,80,19480
293,84,4797
294,82,17117
295,78,32340
296,79,25086
297,79,13004
298,78,39671
299,83,3537
300,83,2559
301,80,13226
302,84,2893
303,81,3163
304,79,9545
305,79,25687
306,79,11851
307,83,5959
308,82,10231
309,80,16460
310,79,11717
311,81,6331
312,80,24249
313,80,10409
314,78,83341
315,80,24761
316,80,13140
317,84,2264
318,82,7211
319,81,6069
320,81,14902
321,79,10748
322,79,18512
323,79,16649
324,78,63681
325,81,12172
326,85,1979
327,82,5682
328,82,11201
329,80,30262
330,80,28691
331,81,9760
332,80,24358
333,78,28509
334,81,6741
335,80,13419
336,80,13325
337,79,19033
338,81,6990
339,80,4144
340,82,4844
341,81,7490
342,82,9586
343,82,7033
344,88,342
345,78,36932
346,82,9350
347,80,12351
348,81,11824
349,80,7532
350,80,8577
351,84,2054
352,80,8351
353,82,8803
354,78,10188
355,80,14186
356,81,7670
357,87,926
358,81,11977
359,79,27071
360,83,2614
361,82,8359
362,79,26023
363,79,18839
364,82,2655
365,80,14372
366,81,24689
367,81,9640
368,83,603
369,77,35821
370,79,23374
371,82,4296
372,81,6192
373,79,17233
374,82,3146
375,82,9205
376,81,7767
377,83,762
378,82,2660
379,79,10408
380,78,37538
381,83,1894
382,81,27802
383,79,39884
384,81,2581
385,82,7819
386,81,8238
387,80,56793
388,81,5040
389,81,9939
390,81,8681
391,76,67929
392,81,7933
393,83,5784
394,81,10201
395,79,15355
396,81,5177
397,83,4484
398,81,15667
399,82,3264
400,84,3138
401,81,5803
402,80,5911
403,82,1553
404,82,3885
405,80,10719
406,80,13854
407,77,94909
408,79,21779
409,80,30068
410,82,5174
411,81,28186
412,80,13508
413,81,8283
414,79,12876
415,81,8992
416,81,11896
417,80,6503
418,79,10945
419,80,7737
420,78,17977
421,81,9077
422,82,1696
423,82,2036
424,81,5990
425,78,24389
426,86,873
427,79,14763
428,80,19409
429,86,1393
430,78,24284
431,78,57590
432,78,32084
433,76,98136
434,83,8916
435,80,18600
436,78,29287
437,80,6708
438,78,30040
439,76,36126
440,83,3418
441,83,3725
442,80,6093
443,79,22430
444,80,15608
445,82,5394
446,81,3270
447,81,4403
448,79,25841
449,77,51510
450,82,3969
451,75,46115
452,78,33794
453,82,3621
454,82,2423
455,79,48185
456,82,3100
457,81,22364
458,79,18640
459,81,8561
