id,mis,count
1,160,12
2,158,37
3,166,10
4,155,220
5,157,60
6,159,13
7,159,1
8,164,17
9,159,68
10,158,3
11,166,1
12,154,205
13,164,1
14,161,63
15,158,29
16,164,2
17,157,27
18,163,15
19,158,99
20,167,2
21,163,27
22,159,5
23,156,177
24,159,323
25,159,22
26,157,13
27,159,287
28,161,29
29,156,451
30,157,30
31,158,97
32,160,12
33,156,486
34,161,98
35,160,138
36,153,190
37,163,1
38,162,36
39,160,200
40,162,33
41,156,1037
42,155,116
43,153,366
44,161,20
45,155,620
46,161,117
47,162,63
48,160,210
49,158,4
50,151,18586
51,157,53
52,156,178
53,154,682
54,150,25006
55,157,52
56,160,49
57,162,2
58,162,36
59,156,114
60,158,8
61,161,12
62,165,1
63,157,4860
64,155,61
65,159,200
66,154,279
67,166,1
68,166,1
69,160,41
70,161,12
71,159,405
72,157,30
73,158,52
74,161,2
75,164,2
76,155,209
77,155,552
78,162,16
79,159,57
80,159,52
81,153,482
82,157,10
83,154,1812
84,162,1
85,156,185
86,168,1
87,162,2
88,161,10
89,163,80
90,164,7
91,157,446
92,153,2270
93,161,8
94,162,17
95,157,16
96,162,7
97,157,183
98,165,4
99,154,1209
100,159,4
101,161,3
102,160,1
103,161,1
104,164,15
105,156,1206
106,158,83
107,156,252
108,161,3
109,155,304
110,161,3
111,160,21
112,163,7
113,169,3
114,163,116
115,159,25
116,163,99
117,160,28
118,156,707
119,160,229
120,158,30
121,161,1
122,157,104
123,153,2761
124,160,63
125,163,2
126,162,6
127,163,6
128,153,52
129,160,1
130,162,3
131,168,1
132,158,83
133,164,7
134,159,90
135,158,95
136,158,227
137,164,3
138,168,2
139,159,233
140,162,5
141,155,294
142,164,3
143,165,31
144,156,107
145,157,1252
146,158,353
147,163,1
148,156,203
149,162,14
150,161,3
151,159,6
152,158,8
153,156,20
154,166,1
155,159,40
156,156,61
157,162,9
158,166,5
159,158,113
160,160,2
161,159,58
162,156,97
163,162,4
164,163,1
165,164,61
166,155,47
167,160,53
168,157,1692
169,164,2
170,150,811
171,161,7
172,164,4
173,159,151
174,161,39
175,165,16
176,159,14
177,160,45
178,159,19
179,158,87
180,160,3
181,160,2
182,161,49
183,158,23
184,156,20
185,163,5
186,161,29
187,160,126
188,162,1
189,159,35
190,169,3
191,166,4
192,159,18
193,154,4878
194,155,1397
195,164,10
196,156,203
197,159,661
198,161,89
199,163,1
200,166,3
201,158,58
202,161,9
203,162,1
204,161,22
205,161,124
206,163,1
207,166,2
208,172,1
209,155,585
210,161,25
211,159,32
212,162,32
213,159,63
214,160,12
215,158,320
216,168,1
217,162,3
218,156,56
219,160,39
220,163,6
221,157,58
222,165,2
223,159,29
224,154,2317
225,161,50
226,158,8
227,159,24
228,166,1
229,156,159
230,163,10
231,155,214
232,154,63
233,167,9
234,163,20
235,165,1
236,162,41
237,154,455
238,160,9
239,160,4
240,155,224
241,164,12
242,152,267
243,164,22
244,163,10
245,168,1
246,157,103
247,166,4
248,156,137
249,164,103
250,164,6
251,158,9
252,155,160
253,163,14
254,158,18
255,161,4
256,158,28
257,156,193
258,157,1416
259,159,136
260,155,241
261,156,254
262,153,961
263,158,17
264,161,6
265,167,6
266,158,326
267,158,2
268,161,22
269,158,9
270,157,327
271,159,367
272,155,476
273,161,53
274,158,35
275,160,2
276,158,499
277,163,3
278,157,51
279,157,195
280,159,99
281,156,215
282,155,24
283,161,52
284,161,122
285,164,5
286,165,7
287,155,1027
288,159,95
289,167,2
290,164,3
291,160,5
292,159,70
293,160,58
294,163,7
295,161,29
296,155,19
297,154,339
298,160,2
299,168,2
300,161,16
301,160,5
302,166,2
303,158,1173
304,159,68
305,158,68
306,161,2
307,160,3
308,161,4
309,162,11
310,155,100
311,165,3
312,161,31
313,158,22
314,153,117
315,157,84
316,155,188
317,163,10
318,156,96
319,165,1
320,161,167
321,157,167
322,158,126
323,155,43
324,154,1931
325,161,2
326,168,2
327,165,34
328,165,2
329,157,387
330,165,1
331,157,135
332,156,388
333,157,357
334,165,1
335,166,19
336,161,117
337,156,35
338,165,1
339,154,978
340,158,87
341,161,30
342,165,7
343,160,10
344,163,3
345,153,2188
346,159,49
347,163,4
348,159,41
349,163,2
350,159,155
351,165,2
352,156,61
353,163,8
354,159,32
355,158,9
356,158,47
357,163,52
358,165,4
359,161,2
360,160,24
361,167,1
362,153,98
363,159,20
364,162,7
365,165,30
366,164,1
367,158,8
368,164,60
369,157,55
370,157,53
371,158,212
372,160,2
373,157,51
374,163,11
375,160,35
376,158,68
377,159,470
378,165,1
379,158,60
380,157,7
381,158,6
382,158,465
383,154,221
384,160,12
385,160,126
386,163,2
387,161,39
388,160,15
389,159,310
390,154,111
391,151,3085
392,164,1
393,167,2
394,165,7
395,156,139
396,164,2
397,156,66
398,164,10
399,158,111
400,169,1
401,157,65
402,160,28
403,160,15
404,160,139
405,160,27
406,156,26
407,155,698
408,157,48
409,156,173
410,162,5
411,164,22
412,159,528
413,163,13
414,165,4
415,159,89
416,161,4
417,164,2
418,158,18
419,159,42
420,159,55
421,158,22
422,161,15
423,163,2
424,162,6
425,158,1
426,158,19
427,157,86
428,160,26
429,167,9
430,154,116
431,161,2
432,157,15
433,156,270
434,155,6655
435,162,10
436,161,2
437,157,13
438,158,8
439,153,1016
440,164,4
441,161,11
442,158,4
443,160,20
444,165,6
445,159,70
446,160,23
447,156,31
448,164,18
449,157,5
450,163,6
451,155,292
452,163,49
453,162,16
454,160,177
455,159,16
456,158,18
457,155,53
458,154,1304
459,164,1
460,157,237
461,168,1
462,160,22
463,162,4
464,156,111
465,171,1
466,154,559
467,154,169
468,160,23
469,156,26
470,155,511
471,164,13
472,157,1308
473,158,16
474,159,1
475,155,97
476,157,283
477,164,36
478,158,7
479,158,333
480,164,35
481,156,24
482,161,101
483,160,86
484,160,59
485,162,14
486,161,5
487,157,209
488,156,193
489,155,2025
490,158,120
491,168,9
492,157,221
493,157,50
494,159,582
495,158,107
496,163,16
497,165,3
498,162,37
499,157,31
500,159,33
501,163,4
502,155,314
503,161,210
504,163,21
505,157,48
506,160,5
507,164,12
508,161,4
509,162,1
510,163,19
511,161,1
512,164,3
513,163,5
514,159,14
515,159,159
516,169,1
517,162,26
518,162,14
519,158,24
520,158,343
521,161,34
522,164,3
523,161,37
524,161,7
525,163,61
526,158,99
527,166,4
528,153,903
529,162,5
530,156,31
531,158,38
532,156,467
533,164,4
534,163,10
535,159,14
536,165,3
537,157,241
538,158,92
539,160,6
540,155,23
541,161,46
542,157,74
543,161,2
544,160,40
545,152,568
546,155,783
547,153,674
548,158,127
549,162,17
550,158,133
551,159,29
552,157,27
553,163,21
554,156,1727
555,149,7737
556,161,2
557,164,5
558,162,4
559,155,664
560,162,1
561,162,60
562,154,185
563,165,4
564,160,36
565,161,5
566,165,45
567,169,4
568,164,7
569,163,11
570,164,2
571,160,3
572,158,552
573,154,6736
574,156,15
575,155,102
576,159,1
577,168,2
578,161,171
579,158,45
580,159,111
581,161,723
582,162,12
583,162,5
584,158,61
585,158,30
586,161,28
587,157,338
588,161,4
589,159,282
590,157,35
591,159,61
592,165,5
593,160,8
594,154,457
595,161,40
596,160,34
597,167,7
598,160,38
599,155,21
600,157,664
601,155,1590
602,161,6
603,160,100
604,164,1
605,154,224
606,160,31
607,162,38
608,168,3
609,160,37
610,169,1
611,161,69
612,154,91
613,156,20
614,156,144
615,160,111
616,163,1
617,160,55
618,152,1041
619,156,29
620,162,16
621,161,1
622,160,20
623,156,612
624,156,98
625,152,302
626,167,4
627,163,9
628,156,269
629,159,8
630,164,5
631,162,3
632,156,23
633,161,551
634,162,6
635,169,17
636,156,6
637,161,17
638,159,18
639,163,2
640,160,7
641,156,481
642,158,11
643,164,1
644,155,137
645,157,102
646,156,3767
647,155,59
648,158,53
649,163,25
650,157,668
651,156,826
652,161,16
653,158,295
654,162,6
655,157,208
656,160,15
657,162,28
658,158,50
659,158,64
660,169,6
661,154,44
662,152,2990
663,158,1460
664,164,2
665,161,39
666,156,1303
667,153,169
668,156,132
669,158,528
670,155,143
671,164,9
672,149,3189
673,158,1456
674,160,9
675,158,74
676,169,2
677,170,12
678,161,42
679,156,32
680,160,54
681,163,23
682,165,1
683,159,184
684,160,4
685,163,12
686,158,203
687,164,52
688,163,2
689,161,90
690,158,28
691,158,41
692,152,821
693,157,25
694,154,150
695,161,54
696,163,1
697,151,679
698,166,3
699,155,292
700,156,209
701,163,1
702,162,1
703,157,5
704,158,17
705,166,3
706,155,221
707,162,5
708,158,194
709,164,4
710,162,4
711,150,7423
712,164,22
713,159,47
714,157,1191
715,156,33
716,159,17
717,161,97
718,164,11
719,157,170
720,161,4
721,151,175
722,160,9
723,159,14
724,158,70
725,160,249
726,163,4
727,160,31
728,158,483
729,161,6
730,159,12
731,151,631
732,155,47
733,162,64
734,162,21
735,155,4604
736,158,164
737,160,52
738,162,1
739,158,12
740,164,59
741,168,1
742,164,7
743,158,38
744,159,55
745,167,1
746,162,148
747,161,1
748,153,7260
749,157,30
750,160,8
751,162,77
752,159,923
753,159,237
754,158,412
755,161,3
756,164,11
757,154,242
758,161,3
759,161,7
760,158,159
761,157,8
762,165,1
763,158,308
764,154,849
765,155,735
766,156,120
767,161,2
768,154,111
769,162,46
770,155,963
771,159,75
772,162,6
773,154,979
774,159,46
775,157,105
776,163,10
777,157,31
778,161,385
779,153,2491
780,152,1145
781,159,179
782,154,1687
783,160,337
784,158,34
785,159,148
786,154,44
787,161,15
788,155,357
789,165,3
790,163,49
791,164,2
792,160,16
793,166,4
794,164,1
795,165,2
796,155,41
797,161,24
798,163,122
799,163,2
800,157,5
801,160,5
802,170,1
803,158,34
804,162,8
805,163,8
806,159,3
807,162,10
808,155,495
809,162,8
810,157,6
811,159,6
812,167,14
813,163,2
