id,mis,count
1,259,13
2,257,37
3,272,1
4,262,1
5,262,4
6,275,1
7,265,1
8,273,2
9,270,6
10,256,2
11,263,3
12,261,2
13,264,1
14,267,1
15,260,1
16,270,1
17,269,1
18,269,1
19,256,6
20,276,1
21,268,2
22,264,1
23,265,1
24,265,1
25,269,2
26,264,1
27,258,86
28,270,1
29,260,3
30,256,29
31,259,26
32,266,1
33,263,1
34,272,1
35,266,2
36,260,1
37,270,1
38,264,1
39,263,16
40,271,1
41,263,4
42,263,2
43,261,3
44,268,1
45,264,10
46,272,1
47,263,5
48,272,1
49,268,1
50,257,1
51,265,1
52,266,1
53,262,1
54,256,8
55,269,1
56,270,1
57,266,1
58,270,2
59,262,6
60,269,1
61,264,8
62,267,2
63,266,1
64,270,1
65,264,2
66,266,2
67,272,1
68,268,1
69,264,1
70,264,8
71,266,1
72,261,3
73,269,1
74,276,1
75,274,1
76,264,10
77,258,4
78,259,16
79,277,1
80,251,28
81,262,2
82,269,2
83,261,1
84,272,3
85,265,2
86,282,1
87,268,2
88,271,1
89,267,1
90,265,2
91,266,1
92,264,1
93,263,1
94,269,1
95,268,1
96,270,1
97,275,1
98,269,1
99,264,1
100,271,1
101,272,1
102,268,1
103,264,5
104,270,1
105,260,1
106,260,2
107,271,1
108,269,1
109,258,84
110,258,8
111,267,6
112,267,1
113,267,1
114,263,1
115,268,1
116,274,1
117,264,1
118,266,4
119,266,1
120,268,1
121,255,41
122,270,1
123,256,5
124,273,1
125,265,5
126,264,2
127,272,1
128,276,1
129,266,1
130,277,1
131,274,1
132,267,2
133,265,4
134,268,1
135,262,1
136,276,1
137,263,3
138,268,1
139,267,1
140,271,2
141,267,3
142,270,1
143,268,2
144,266,2
145,265,2
146,261,20
147,267,1
148,270,2
149,260,6
150,275,1
151,264,9
152,276,1
153,261,9
154,275,1
155,257,8
156,265,1
157,267,2
158,268,1
159,266,1
160,264,4
161,260,207
162,260,1
163,272,1
164,266,1
165,268,1
166,259,5
167,268,1
168,265,1
169,268,1
170,268,1
171,264,1
172,265,2
173,262,1
174,265,1
175,276,1
176,269,2
177,266,1
178,263,26
179,263,2
180,267,4
181,271,1
182,267,1
183,266,1
184,266,1
185,269,1
186,259,12
187,264,1
188,265,7
189,264,1
190,274,1
191,275,1
192,268,1
193,269,1
194,264,3
195,261,4
196,262,7
197,267,1
198,262,1
199,272,1
200,268,1
201,264,14
202,271,1
203,268,1
204,268,1
205,268,1
206,273,1
207,274,1
208,272,1
209,263,1
210,266,1
211,260,1
212,270,2
213,271,1
214,269,1
215,275,1
216,279,1
217,270,1
218,265,1
219,269,1
220,271,1
221,269,1
222,264,4
223,271,6
224,261,2
225,270,1
226,267,1
227,270,1
228,268,5
229,261,1
230,265,2
231,261,11
232,263,3
233,267,1
234,270,1
235,265,1
236,265,2
237,261,1
238,274,1
239,269,1
240,271,1
241,268,1
242,259,13
243,259,1
244,270,1
245,271,1
246,274,1
247,268,2
248,268,4
249,271,1
250,266,1
251,265,5
252,267,2
253,267,1
254,259,3
255,267,5
256,272,1
257,261,3
258,264,1
259,260,5
260,263,4
261,261,18
262,270,1
263,272,1
264,272,3
265,263,1
266,261,2
267,263,3
268,270,1
269,267,1
270,267,1
271,269,1
272,272,1
273,269,9
274,255,15
275,272,1
276,268,1
277,267,1
278,258,4
279,260,4
280,268,1
281,260,5
282,262,6
283,264,4
284,275,1
285,266,1
286,268,1
287,258,4
288,262,2
289,268,1
290,267,1
291,270,1
292,267,12
293,269,7
294,268,1
295,263,2
296,264,1
297,260,1
298,264,1
299,275,1
300,269,1
301,268,3
302,271,2
303,260,1
304,265,1
305,267,1
306,267,1
307,275,1
308,264,1
309,266,1
310,268,1
311,262,3
312,264,3
313,268,1
314,262,2
315,268,1
316,261,1
317,277,1
318,263,1
319,268,1
320,269,1
321,258,27
322,261,5
323,265,3
324,261,1
325,265,1
326,268,1
327,267,3
328,269,5
329,267,1
330,267,5
331,270,1
332,269,3
333,261,10
334,265,1
335,268,1
336,269,1
337,259,2
338,272,1
339,268,1
340,273,1
341,267,1
342,267,8
343,270,2
344,273,1
345,257,1
346,271,1
347,267,1
348,261,3
349,260,12
350,273,1
351,264,1
352,265,1
353,265,1
354,268,3
355,261,29
356,267,1
357,270,10
358,267,2
359,263,1
360,268,3
361,266,1
362,259,3
363,263,6
364,267,2
365,270,2
366,264,1
367,262,1
368,269,1
369,262,17
370,261,1
371,270,1
372,269,3
373,265,1
374,273,1
375,273,1
376,270,3
377,266,1
378,266,1
379,261,13
380,266,3
381,267,1
382,262,1
383,263,2
384,272,1
385,261,1
386,272,1
387,267,2
388,264,1
389,269,1
390,262,17
391,266,5
392,262,4
393,268,1
394,272,2
395,259,3
396,269,1
397,268,1
398,267,1
399,272,1
400,268,1
401,263,1
402,261,1
403,266,1
404,265,3
405,269,1
406,264,1
407,260,3
408,263,2
409,271,1
410,265,2
411,274,1
412,267,1
413,269,1
414,269,15
415,255,11
416,268,1
417,272,1
418,261,1
419,271,2
420,259,33
421,264,18
422,268,1
423,267,2
424,264,1
425,264,1
426,274,1
427,265,1
428,270,1
429,272,1
430,257,5
431,269,3
432,266,1
433,257,2
434,262,1
435,271,1
436,262,2
437,273,1
438,262,6
439,259,6
440,266,2
441,274,3
442,274,1
443,261,2
444,267,5
445,272,1
446,271,1
447,267,4
448,261,9
449,260,5
450,275,3
451,258,3
452,266,1
453,264,2
454,266,11
455,270,1
456,269,1
457,269,2
458,261,3
459,265,3
460,268,1
461,263,1
462,266,3
463,266,1
464,267,1
465,272,1
466,267,1
467,259,31
468,264,1
469,261,2
470,265,1
471,277,1
472,262,2
473,266,1
474,263,1
475,263,1
476,267,7
477,271,1
478,264,1
479,254,49
480,270,1
481,265,1
482,265,1
483,271,1
484,272,1
485,257,2
486,272,1
487,260,7
488,268,1
489,269,1
490,270,1
491,261,2
492,267,1
493,265,1
494,266,2
495,271,3
496,266,1
497,265,1
498,270,1
499,262,1
500,272,1
501,265,1
502,263,1
503,274,1
504,277,1
505,262,1
506,257,1
507,272,1
508,275,1
509,279,1
510,275,1
511,268,1
512,270,1
513,268,1
514,266,1
515,269,1
516,263,3
517,273,2
518,261,1
519,261,4
520,266,7
521,254,4
522,267,2
523,265,1
524,265,1
525,277,1
526,262,5
527,274,1
528,264,4
529,269,1
530,263,1
531,262,3
532,261,4
533,267,3
534,262,16
535,270,1
536,271,1
537,257,15
538,268,1
539,259,5
540,261,58
541,278,1
542,259,1
543,264,1
544,264,2
545,267,1
546,263,3
547,262,1
548,264,12
549,269,1
550,275,1
551,264,16
552,269,1
553,260,12
554,258,29
555,260,1
556,265,1
557,270,1
558,266,1
559,261,5
560,277,1
561,262,1
562,263,1
563,267,1
564,264,1
565,265,1
566,265,1
567,272,1
568,273,1
569,266,1
570,266,1
571,269,1
572,267,3
573,271,2
574,262,4
575,266,1
576,264,2
577,271,2
578,259,24
579,268,1
580,265,1
581,271,2
582,269,2
583,280,1
584,271,1
