id,mis,count
1,40,1
2,43,1
3,41,1
4,38,3
5,42,1
6,43,1
7,43,1
8,44,1
9,40,1
10,45,1
11,41,1
12,44,1
13,40,2
14,39,2
15,38,1
16,43,1
17,46,1
18,44,1
19,41,1
20,44,1
21,43,1
22,46,1
23,39,2
24,41,1
25,42,1
26,44,1
27,40,1
28,42,1
29,42,1
30,44,1
31,41,2
32,46,1
33,40,2
34,42,1
35,43,1
36,41,1
37,43,1
38,45,1
39,41,2
40,43,1
41,43,1
42,42,2
43,42,1
44,43,1
45,41,1
46,44,1
47,42,2
48,44,1
49,44,1
50,42,1
51,41,1
52,41,3
53,41,1
54,39,4
55,41,1
56,43,1
57,40,1
58,44,1
59,41,1
60,45,1
61,45,1
62,42,1
63,39,1
64,39,2
65,44,1
66,44,1
67,44,1
68,43,1
69,45,1
70,45,1
71,43,1
72,42,1
73,45,1
74,47,1
75,46,1
76,41,1
77,43,1
78,42,1
79,42,1
80,43,1
81,38,4
82,39,2
83,40,1
84,42,1
85,39,7
86,45,1
87,42,1
88,45,1
89,40,2
90,41,1
91,43,1
92,39,4
93,42,2
94,42,1
95,40,1
96,44,1
97,41,1
98,43,1
99,42,1
100,43,1
101,40,1
102,43,1
103,41,2
104,42,1
105,45,1
106,47,1
107,38,2
108,41,1
109,44,1
110,41,1
111,42,1
112,44,1
113,46,1
114,42,1
115,42,1
116,41,1
117,44,1
118,41,1
119,43,1
120,42,1
121,41,1
122,39,3
123,42,1
124,43,1
125,44,1
126,47,1
127,42,1
128,41,1
129,41,1
130,44,1
131,44,1
132,41,2
133,41,1
134,42,1
135,39,3
136,43,1
137,44,1
138,45,1
139,44,1
140,41,1
141,44,1
142,40,1
143,39,1
144,40,1
145,40,1
146,41,1
147,44,1
148,42,1
149,42,2
150,46,1
151,41,1
152,43,1
153,40,3
154,44,1
155,42,1
156,44,1
157,42,2
158,45,1
159,43,1
160,43,1
161,45,1
162,40,1
163,40,2
164,44,1
165,43,1
166,40,1
167,41,2
168,41,1
169,45,1
170,39,4
171,43,1
172,42,1
173,40,1
174,40,1
175,41,1
176,42,1
177,45,1
178,40,2
179,46,1
180,45,1
181,41,1
182,44,1
183,40,1
184,41,1
185,42,1
186,45,1
187,41,1
188,40,1
189,40,1
190,46,1
191,43,1
192,40,3
193,38,4
194,43,1
195,40,2
196,42,1
197,41,1
198,43,1
199,43,1
200,47,1
201,40,1
202,43,1
203,47,1
204,39,2
205,40,1
206,44,1
207,41,1
208,46,1
209,42,1
210,42,1
211,45,1
212,40,1
213,40,3
214,41,2
215,42,1
216,43,1
217,42,2
218,44,1
219,44,1
220,44,1
221,43,1
222,47,1
223,41,2
224,41,1
225,43,1
226,42,1
227,43,1
228,44,1
229,39,1
230,39,4
231,41,1
232,42,1
233,41,1
234,43,1
235,42,1
236,43,1
237,39,6
238,45,1
239,41,1
240,44,1
241,40,1
242,44,1
243,42,1
244,43,1
245,43,1
246,44,1
247,41,1
248,43,1
249,44,1
250,41,1
251,43,1
252,41,2
253,42,1
254,41,1
255,42,1
256,45,1
257,42,1
258,40,1
259,40,1
260,42,1
261,41,1
262,43,1
263,40,3
264,40,1
265,42,1
266,42,1
267,42,1
268,42,1
269,40,1
270,39,2
271,46,1
272,42,1
273,42,1
274,40,1
275,41,1
276,43,1
277,41,3
278,44,1
279,41,1
280,41,1
281,43,1
282,46,1
283,45,1
284,44,1
285,40,1
286,41,1
287,42,1
288,42,2
289,48,1
290,43,2
291,42,1
292,40,3
293,40,1
294,43,1
295,41,3
296,44,1
297,44,1
298,41,1
299,42,1
300,44,1
301,44,1
302,46,1
303,41,1
304,43,1
305,42,1
306,43,1
307,40,3
308,46,1
309,42,1
310,42,1
311,43,1
312,44,1
313,41,1
314,43,1
315,41,2
316,42,1
317,43,1
318,43,1
319,43,2
320,43,1
321,41,1
322,46,1
323,44,1
324,46,1
325,42,1
326,44,1
327,44,1
328,43,1
329,43,1
330,45,1
331,41,1
332,42,1
333,42,1
334,45,1
335,40,2
336,44,1
337,40,1
338,42,1
339,41,2
340,42,1
341,42,1
342,40,1
343,43,1
344,45,1
345,40,2
346,42,1
347,43,1
348,46,1
349,43,1
350,42,1
351,42,1
352,39,1
353,41,1
354,42,3
355,43,1
356,45,1
357,42,2
358,45,1
359,43,1
360,44,1
361,45,1
362,42,1
363,43,1
364,41,3
365,45,1
366,46,1
367,41,2
368,43,1
369,39,1
370,42,2
371,42,1
372,42,1
373,40,1
374,47,1
375,45,1
376,40,1
377,42,1
378,45,1
379,41,1
380,39,1
381,43,1
382,44,1
383,42,1
384,42,1
385,43,1
386,42,1
387,40,1
388,44,1
389,43,1
390,37,12
391,44,1
392,40,1
393,44,1
394,44,1
395,41,2
396,43,1
397,44,1
398,44,3
399,44,1
400,42,1
401,42,1
402,40,1
403,44,2
404,44,1
405,43,1
406,42,1
407,43,1
408,40,1
409,41,1
410,41,1
411,40,1
412,44,1
413,42,1
414,43,1
415,41,1
416,41,1
417,43,1
418,41,1
419,47,1
420,45,1
421,44,1
422,43,1
423,43,1
424,41,1
425,40,1
426,44,1
427,42,1
428,40,5
429,42,1
430,41,1
431,40,3
432,42,1
433,40,2
434,42,1
435,44,1
436,44,1
437,41,3
438,45,1
439,39,3
440,42,1
441,43,1
442,46,1
443,43,1
444,40,1
445,43,1
446,41,1
447,41,1
448,44,1
449,46,1
450,43,1
451,40,1
452,40,1
453,44,1
454,43,1
455,45,1
456,44,1
457,43,1
458,43,1
459,47,1
460,41,1
461,40,2
462,39,1
463,44,1
464,45,1
465,45,1
466,40,1
467,42,2
468,43,1
469,38,1
470,39,3
471,39,3
472,42,1
473,41,1
474,46,1
475,42,1
476,43,2
477,41,1
478,45,1
479,42,1
480,43,1
481,41,1
482,41,1
483,43,1
484,43,1
485,44,1
486,42,1
487,43,1
488,42,1
489,43,1
490,43,2
491,43,1
492,42,1
493,42,1
494,45,1
495,41,1
496,43,1
497,46,1
498,43,1
499,42,1
500,45,1
501,41,1
502,45,1
503,42,1
504,44,1
505,40,2
506,41,1
507,43,1
508,42,1
509,44,1
510,44,1
511,44,1
512,44,1
513,46,1
514,40,2
515,40,1
516,43,1
517,41,1
518,45,1
519,42,1
520,41,1
521,41,1
522,42,1
523,42,1
524,39,2
525,46,1
526,45,1
527,43,1
528,40,1
529,43,2
530,40,1
531,40,2
532,40,1
533,44,1
534,43,1
535,44,1
536,40,2
537,42,1
538,47,1
539,42,1
540,40,1
541,44,1
542,41,2
543,43,1
544,40,1
545,40,1
546,40,1
547,41,1
548,44,1
549,42,1
550,41,1
551,42,1
552,40,3
553,39,2
554,41,1
555,43,1
556,44,1
557,41,1
558,46,1
559,41,1
560,44,1
561,42,1
562,40,1
563,43,1
564,43,1
565,41,1
566,42,1
567,43,1
568,42,1
569,47,1
570,44,1
571,42,1
572,41,2
573,39,1
574,42,1
575,41,1
576,40,1
577,45,1
578,41,1
579,40,1
580,40,1
581,40,2
582,41,1
583,41,1
584,47,1
585,40,4
586,43,1
587,38,3
588,42,1
589,42,4
590,39,1
591,42,1
592,40,1
593,43,1
594,41,3
595,42,2
596,42,1
597,42,1
598,42,3
599,40,2
600,41,1
601,43,1
602,44,1
603,45,1
604,46,1
605,40,2
606,43,1
607,40,2
608,45,1
609,44,1
610,45,1
611,41,1
612,43,1
613,43,1
614,42,1
615,45,1
616,43,1
617,40,1
618,39,1
619,44,1
620,44,1
621,44,1
622,42,1
623,45,1
624,43,1
625,43,1
626,42,1
627,41,1
628,41,1
629,42,1
630,45,1
631,43,2
632,42,1
633,44,2
634,41,1
635,42,1
636,41,1
637,44,1
638,44,1
639,44,1
640,39,2
641,44,1
642,41,1
643,42,1
644,40,1
645,44,1
646,40,3
647,42,1
648,43,1
649,41,1
650,44,1
651,41,1
652,43,1
653,42,1
654,40,2
655,39,1
656,41,1
657,45,1
658,45,1
659,40,1
660,44,2
661,43,1
662,44,1
663,40,1
664,46,1
665,45,1
666,41,3
667,42,1
668,40,1
669,39,4
670,40,1
671,39,1
672,40,4
673,39,4
674,42,1
675,37,3
676,44,1
677,44,1
678,43,1
679,42,1
680,43,1
681,42,1
682,43,1
683,43,1
684,43,1
685,44,1
686,42,2
687,44,1
688,42,1
689,43,1
690,41,1
691,43,1
692,40,5
693,41,2
694,41,1
695,41,1
696,42,1
697,39,3
698,43,1
699,42,1
700,40,1
701,42,1
702,39,1
703,41,2
704,41,1
705,42,1
706,42,1
707,43,1
708,42,1
709,43,1
710,39,1
711,41,2
712,41,1
713,42,1
714,42,1
715,43,1
716,45,1
717,41,2
718,44,1
719,40,1
720,42,1
721,43,1
722,42,1
723,41,1
724,46,1
725,45,1
726,45,1
727,44,1
728,39,6
729,41,1
730,42,1
731,38,3
732,40,1
733,45,1
734,44,1
735,41,1
736,41,2
737,42,1
738,43,1
739,43,1
740,44,1
741,44,1
742,40,1
743,42,1
744,40,1
745,40,1
746,45,1
747,39,2
748,41,1
749,42,1
750,41,1
751,45,1
752,42,1
753,41,1
754,41,4
755,43,1
756,42,1
757,44,1
758,41,1
759,44,1
760,44,1
761,41,1
762,43,1
763,43,1
764,37,3
765,39,1
766,45,1
767,40,1
768,42,1
769,44,1
770,44,1
771,45,1
772,41,1
773,39,2
774,42,1
775,41,1
776,42,3
777,41,1
778,41,1
779,40,1
780,41,1
