id,mis,count
1,44,1
2,44,1
3,44,1
4,44,1
5,46,1
6,45,1
7,46,1
8,46,1
9,42,1
10,51,1
11,47,1
12,47,1
13,46,1
14,45,1
15,44,1
16,46,1
17,49,1
18,51,1
19,44,1
20,45,1
21,49,1
22,50,1
23,44,1
24,45,1
25,48,1
26,49,1
27,45,1
28,43,1
29,48,1
30,45,1
31,46,1
32,49,1
33,43,1
34,45,1
35,47,1
36,43,1
37,47,1
38,47,1
39,46,1
40,46,1
41,47,1
42,44,1
43,48,1
44,47,1
45,44,1
46,44,1
47,49,1
48,45,1
49,48,1
50,46,1
51,43,1
52,45,1
53,44,1
54,43,1
55,46,1
56,47,1
57,44,1
58,47,1
59,44,1
60,47,1
61,45,1
62,46,1
63,44,1
64,43,1
65,50,1
66,49,1
67,48,1
68,43,1
69,48,1
70,48,1
71,45,1
72,45,1
73,49,1
74,48,1
75,51,1
76,46,1
77,50,1
78,49,1
79,46,1
80,45,1
81,44,1
82,44,1
83,43,1
84,45,1
85,42,1
86,50,1
87,45,1
88,46,1
89,42,1
90,48,1
91,47,1
92,42,1
93,49,1
94,46,1
95,43,1
96,46,1
97,44,1
98,45,1
99,43,1
100,46,1
101,45,1
102,46,1
103,44,1
104,48,1
105,45,1
106,48,1
107,44,1
108,45,1
109,46,1
110,45,1
111,45,1
112,47,1
113,50,1
114,44,1
115,46,1
116,42,1
117,47,1
118,45,1
119,46,1
120,46,1
121,44,1
122,44,1
123,45,1
124,46,1
125,45,1
126,47,1
127,46,1
128,45,1
129,48,1
130,48,1
131,46,1
132,44,1
133,43,1
134,45,1
135,42,1
136,45,1
137,46,1
138,46,1
139,44,1
140,47,1
141,46,1
142,44,1
143,42,1
144,44,1
145,44,1
146,44,1
147,46,1
148,45,1
149,47,1
150,49,1
151,49,1
152,46,1
153,44,1
154,47,1
155,45,1
156,47,1
157,47,1
158,48,1
159,45,1
160,48,1
161,44,1
162,44,1
163,46,1
164,49,1
165,45,1
166,46,1
167,49,1
168,44,1
169,48,1
170,44,1
171,46,1
172,45,1
173,48,1
174,42,1
175,45,1
176,47,1
177,47,1
178,43,1
179,50,1
180,50,1
181,46,1
182,46,1
183,43,1
184,43,1
185,47,1
186,46,1
187,45,1
188,42,1
189,43,1
190,53,1
191,49,1
192,45,1
193,43,1
194,50,1
195,43,1
196,45,1
197,47,1
198,46,1
199,48,1
200,48,1
201,46,1
202,45,1
203,49,1
204,47,1
205,44,1
206,45,1
207,47,1
208,48,1
209,45,1
210,44,1
211,45,1
212,43,1
213,43,1
214,46,1
215,45,1
216,50,1
217,44,1
218,51,1
219,48,1
220,49,1
221,46,1
222,49,1
223,43,1
224,42,1
225,47,1
226,47,1
227,47,1
228,51,1
229,45,1
230,43,1
231,46,1
232,46,1
233,42,1
234,47,1
235,49,1
236,51,1
237,42,1
238,47,1
239,46,1
240,46,1
241,45,1
242,46,1
243,45,1
244,45,1
245,46,1
246,49,1
247,45,1
248,46,1
249,48,1
250,46,1
251,46,1
252,45,1
253,43,1
254,42,1
255,46,1
256,47,1
257,46,1
258,47,1
259,45,1
260,44,1
261,45,1
262,48,1
263,44,1
264,43,1
265,49,1
266,45,1
267,44,1
268,45,1
269,43,1
270,41,1
271,50,1
272,47,1
273,43,1
274,44,1
275,44,1
276,47,1
277,44,1
278,47,1
279,43,1
280,46,1
