id,mis,count
1,29,25
2,32,2
3,32,1
4,30,6
5,31,1
6,30,5
7,31,11
8,34,1
9,30,7
10,30,2
11,30,1
12,31,13
13,30,2
14,33,2
15,30,23
16,31,1
17,31,4
18,31,4
19,32,1
20,31,3
21,31,1
22,31,1
23,31,2
24,32,4
25,30,3
26,30,1
27,32,3
28,31,2
29,31,7
30,32,4
31,34,9
32,29,6
33,33,1
34,31,1
35,32,1
36,32,1
37,29,27
38,30,11
39,30,1
40,32,2
41,32,1
42,32,1
43,33,1
44,30,15
45,31,9
46,31,8
47,32,1
48,31,1
49,33,6
50,32,1
51,30,6
52,31,9
53,30,16
54,31,1
55,32,1
56,32,3
57,32,1
58,32,1
59,31,12
60,32,1
61,32,3
62,31,2
63,31,2
64,32,2
65,32,3
66,32,2
67,32,1
68,31,15
69,30,1
70,33,3
71,32,1
72,32,3
73,32,2
74,32,3
75,30,11
76,30,4
77,31,10
78,31,3
79,31,3
80,33,8
81,31,1
82,30,13
83,33,1
84,32,1
85,31,13
86,29,4
87,31,4
88,32,1
89,33,1
90,30,12
91,30,1
92,31,1
93,33,1
94,31,16
95,31,2
96,29,4
97,31,6
98,32,3
99,33,1
100,32,3
101,31,5
102,30,1
103,31,2
104,33,5
105,30,4
106,34,2
107,32,1
108,32,1
109,31,1
110,33,7
111,32,1
112,31,5
113,30,1
114,30,4
115,32,9
116,30,2
117,31,1
118,32,11
119,33,1
120,32,1
121,30,1
122,32,6
123,32,3
124,31,3
125,32,4
126,32,1
127,31,7
128,31,2
129,31,5
130,33,2
131,32,1
132,32,3
133,30,1
134,30,1
135,30,8
136,32,2
137,33,1
138,30,11
139,32,3
140,31,2
141,31,3
142,33,4
143,32,6
144,32,5
145,32,1
146,31,5
147,29,4
148,32,14
149,32,4
150,29,19
151,33,4
152,30,1
153,31,12
154,31,4
155,31,9
156,31,1
157,31,2
158,31,4
159,32,4
160,31,7
161,33,1
162,31,6
163,31,1
164,32,2
165,30,9
166,32,1
167,32,1
168,32,2
169,31,1
170,32,1
171,33,1
172,31,2
173,31,5
174,32,1
175,31,3
176,33,1
177,32,1
178,31,1
179,31,1
180,31,1
181,31,1
182,30,7
183,31,1
184,30,1
185,31,4
186,32,1
187,32,1
188,32,1
189,31,1
190,32,29
191,31,4
192,33,3
193,32,4
194,32,7
195,31,4
196,30,1
197,30,9
198,31,6
199,32,4
200,33,1
201,30,8
202,32,5
203,31,3
204,30,1
205,30,15
206,30,2
207,33,1
208,32,1
209,32,2
210,29,14
211,31,2
212,32,1
213,32,3
214,31,5
215,30,1
216,31,1
217,29,3
218,32,1
219,35,1
220,32,1
221,32,3
222,31,1
223,31,4
224,31,2
225,32,1
226,32,1
