id,mis,count
1,47,12
2,49,25
3,47,46
4,47,26
5,49,7
6,48,4
7,48,8
8,49,1
9,48,19
10,48,8
11,48,53
12,48,7
13,48,1
14,48,1
15,48,5
16,49,5
17,48,3
18,49,62
19,49,20
20,48,16
21,47,45
22,48,36
23,47,4
24,49,15
25,47,20
26,48,6
27,48,30
28,49,11
29,48,2
30,48,135
31,49,18
32,47,50
33,49,2
34,49,64
35,48,6
36,47,16
37,48,1
38,48,9
39,47,35
40,48,11
41,49,8
42,48,9
43,47,108
44,49,98
45,49,16
46,48,1
47,47,5
48,48,5
49,48,7
50,48,58
51,49,54
52,49,1
53,49,30
54,48,81
55,47,117
56,48,17
57,48,1
58,48,4
59,49,18
60,48,32
61,48,23
62,47,84
63,48,46
64,48,37
65,47,10
66,49,19
67,48,51
68,49,24
69,46,40
70,48,9
71,48,69
72,48,21
73,47,4
74,48,1
75,47,6
76,48,4
77,48,9
78,48,7
79,48,11
80,49,10
81,47,40
82,49,10
83,49,41
84,49,2
85,48,22
86,48,4
87,48,12
88,49,57
89,49,33
90,48,16
91,48,133
92,49,115
93,48,5
94,48,12
95,48,3
96,47,1
97,47,60
98,49,6
99,48,41
100,48,31
101,48,65
102,47,73
103,49,19
104,49,40
105,49,14
106,47,1
107,49,30
108,48,9
109,47,2
110,49,7
111,47,2
112,46,1
113,48,2
114,49,2
115,48,2
116,49,18
117,48,8
118,47,8
119,48,12
120,47,29
121,49,2
122,47,118
123,47,2
124,47,12
125,48,22
126,49,1
127,48,17
128,48,2
129,49,10
130,49,6
131,48,19
132,48,45
133,49,23
134,48,65
135,49,29
136,48,20
137,47,1
138,47,1
139,48,10
140,48,65
141,48,65
142,48,6
143,48,10
144,48,153
145,49,37
146,47,18
147,48,8
148,49,9
149,49,271
150,47,2
151,47,1
152,47,11
153,49,2
154,48,10
155,48,2
156,49,3
157,48,2
158,48,161
159,48,102
160,48,8
161,49,15
162,47,16
163,49,22
164,48,15
165,48,12
166,49,83
167,48,5
168,48,2
169,48,11
170,48,4
171,49,40
172,48,8
173,47,9
174,48,14
175,49,1
176,49,11
177,49,17
178,48,3
179,49,8
180,48,60
181,48,1
182,48,98
183,48,9
184,49,1
185,48,10
186,49,4
187,47,60
188,49,1
189,48,2
190,48,7
191,49,17
192,49,15
193,47,4
194,49,30
195,48,6
196,48,16
197,48,47
198,47,6
199,48,16
200,48,11
201,49,9
202,49,20
203,48,6
204,47,2
205,48,8
206,49,3
207,48,30
208,49,18
209,48,72
210,49,18
211,49,5
212,49,3
213,48,3
214,48,1
215,48,4
216,48,11
217,48,4
218,49,3
219,48,7
220,48,7
221,48,1
222,48,48
223,49,8
224,47,14
225,48,9
226,48,242
227,49,5
228,48,11
229,48,2
230,48,53
231,49,10
232,47,14
233,48,16
234,48,1
235,48,2
236,49,1
237,49,16
238,49,2
239,47,66
240,47,6
241,48,2
242,48,13
243,48,20
244,47,81
245,48,57
246,49,2
247,48,15
248,48,7
249,49,31
250,49,6
251,48,1
252,48,52
253,49,6
254,48,10
255,47,2
256,48,63
257,49,3
258,49,3
259,49,16
260,49,13
261,49,20
262,48,24
263,48,7
264,48,4
265,49,12
266,48,15
267,47,18
268,48,14
269,48,20
270,48,76
271,48,18
272,48,2
273,48,3
274,49,1
275,48,4
276,48,37
277,48,20
278,49,76
279,48,2
280,48,13
281,49,2
282,48,150
283,48,1
284,48,1
285,47,54
286,48,6
287,48,2
288,48,14
289,48,111
290,48,51
291,48,21
292,48,2
293,48,1
294,49,1
295,47,32
296,48,4
297,49,38
298,48,43
299,48,18
300,49,14
301,49,5
302,48,17
303,49,13
304,48,1
305,48,15
306,46,13
307,48,1
308,48,16
309,48,5
310,49,26
311,49,3
312,49,11
313,49,19
314,48,94
315,48,32
316,48,103
317,49,19
318,49,4
319,49,5
320,48,93
321,47,8
322,47,4
323,48,1
324,47,19
325,47,18
326,49,19
327,48,31
328,49,40
329,48,16
330,49,1
331,48,7
332,49,5
333,48,32
334,48,4
335,48,23
336,49,10
337,49,4
338,48,84
339,49,18
340,49,19
341,49,4
342,49,3
343,47,14
344,48,73
345,48,22
346,47,186
347,47,14
348,48,1
349,49,1
350,47,5
351,49,3
352,48,5
353,49,1
354,48,31
355,49,6
356,47,3
357,48,1
358,49,2
359,49,75
360,48,47
361,48,43
362,48,12
363,48,29
364,49,2
365,49,30
366,46,1
367,49,33
368,49,132
369,49,5
370,49,24
371,48,40
372,47,6
373,49,6
374,47,10
375,47,47
376,49,21
377,49,36
378,49,5
379,48,6
380,49,29
381,48,3
382,49,20
383,48,2
384,48,15
385,46,30
386,49,1
387,48,5
388,48,10
389,48,33
390,49,21
391,48,7
392,49,4
393,49,3
394,48,3
395,49,4
396,49,34
397,47,2
398,48,11
399,48,3
400,48,16
401,48,2
402,48,11
403,48,25
404,48,29
405,49,1
406,49,24
407,47,155
408,49,1
409,48,110
410,49,4
411,47,18
412,49,13
413,47,36
414,49,4
415,48,4
416,48,31
417,48,31
418,46,70
419,49,46
420,49,46
421,48,7
422,48,2
423,48,122
424,47,218
425,49,15
426,47,42
427,48,3
428,48,13
429,48,11
430,48,5
431,49,23
432,49,21
433,49,4
434,49,2
435,49,1
436,47,84
437,47,38
438,47,12
439,49,9
440,48,6
441,49,118
442,49,4
443,49,10
444,49,7
445,48,4
446,48,5
447,48,35
448,48,14
449,49,16
450,47,4
451,49,76
452,48,10
453,46,8
454,49,18
455,47,2
456,49,4
457,48,33
458,49,19
459,49,266
460,48,25
461,49,9
462,47,3
463,48,29
464,49,1
465,48,1
466,49,4
467,49,1
468,48,21
469,48,44
470,49,11
471,49,4
472,49,38
473,48,6
474,47,220
475,47,78
476,48,5
477,48,32
478,49,5
479,47,12
480,47,62
481,48,31
482,48,3
483,48,15
484,48,10
485,48,3
486,48,19
487,47,7
488,48,4
489,47,12
490,48,37
491,48,2
492,49,1
493,48,1
494,48,131
495,48,89
496,48,7
497,49,4
498,46,10
499,49,9
500,49,1
501,49,3
502,48,79
503,47,28
504,48,70
505,49,3
506,49,8
507,49,39
508,47,25
509,48,9
510,47,20
511,49,5
512,47,4
513,48,2
514,49,1
515,48,11
516,49,32
517,48,243
518,48,27
519,48,12
520,48,2
521,48,18
522,47,19
523,47,2
524,49,1
525,49,15
526,47,1
527,48,12
528,47,90
529,49,10
530,49,1
531,49,2
532,47,46
533,49,8
534,48,17
535,48,39
536,48,5
537,49,2
538,49,1
539,48,1
540,47,12
541,47,6
542,49,43
