id,mis,count
1,47,47193
2,49,14850
3,47,34772
4,47,76106
5,49,5246
6,48,19349
7,48,5200
8,49,21166
9,48,49133
10,48,9650
11,48,17423
12,48,24319
13,48,10162
14,48,3303
15,48,21167
16,49,28775
17,48,42461
18,49,18869
19,49,28600
20,48,41271
21,47,59404
22,48,27520
23,47,5909
24,49,14058
25,47,42688
26,48,27601
27,48,33971
28,49,41354
29,48,35005
30,48,25690
31,49,32045
32,47,99633
33,49,16362
34,49,28346
35,48,69669
36,47,53448
37,48,9777
38,48,2083
39,47,57140
40,48,50689
41,49,32300
42,48,13373
43,47,41554
44,49,8060
45,49,10857
46,48,23765
47,47,45241
48,48,29011
49,48,14303
50,48,30811
51,49,26456
52,49,5622
53,49,7238
54,48,16306
55,47,97461
56,48,34589
57,48,11902
58,48,74199
59,49,21577
60,48,38428
61,48,96200
62,47,32250
63,48,29060
64,48,49919
65,47,31002
66,49,5420
67,48,17516
68,49,17819
69,46,202265
70,48,20313
71,48,32430
72,48,31766
73,47,56096
74,48,32738
75,47,51932
76,48,28958
77,48,27669
78,48,21556
79,48,8987
80,49,45129
81,47,22141
82,49,29768
83,49,16616
84,49,27678
85,48,5983
86,48,19719
87,48,21432
88,49,5731
89,49,10358
90,48,17432
91,48,30666
92,49,46729
93,48,49851
94,48,20123
95,48,15215
96,47,20156
97,47,91993
98,49,49520
99,48,9201
100,48,24101
101,48,32241
102,47,18569
103,49,15684
104,49,22504
105,49,18123
106,47,20029
107,49,29071
108,48,8108
109,47,68119
110,49,5199
111,47,56944
112,46,100821
113,48,52689
114,49,18715
115,48,9983
116,49,6388
117,48,12350
118,47,59936
119,48,35421
120,47,30269
121,49,25407
122,47,35133
123,47,26577
124,47,36292
125,48,25696
126,49,39176
127,48,66531
128,48,28349
129,49,15932
130,49,11909
131,48,16821
132,48,18445
133,49,6010
134,48,15609
135,49,73072
136,48,16027
137,47,13430
138,47,9473
139,48,10620
140,48,57062
141,48,13801
142,48,9190
143,48,9768
144,48,19381
145,49,9442
146,47,47749
147,48,48129
148,49,34271
149,49,15585
150,47,18150
151,47,37192
152,47,11323
153,49,13800
154,48,18594
155,48,4572
156,49,10912
157,48,16604
158,48,8265
159,48,39464
160,48,47496
161,49,21904
162,47,24169
163,49,40356
164,48,33510
165,48,28545
166,49,26456
167,48,16714
168,48,5754
169,48,7523
170,48,15523
171,49,13364
172,48,31671
173,47,73471
174,48,10037
175,49,16963
176,49,20557
177,49,60782
178,48,7860
179,49,25186
180,48,27052
181,48,38786
182,48,30905
183,48,20974
184,49,25761
185,48,9265
186,49,4576
187,47,54305
188,49,25888
189,48,11068
190,48,12186
191,49,12026
192,49,5789
193,47,36449
194,49,26268
195,48,11672
196,48,39801
197,48,65847
198,47,28594
199,48,9007
200,48,71732
201,49,7463
202,49,25784
203,48,20588
204,47,11034
205,48,75597
206,49,49220
207,48,42030
208,49,19984
209,48,20719
210,49,4844
211,49,21749
212,49,65488
213,48,14299
214,48,22285
215,48,42161
216,48,137786
217,48,16809
218,49,6195
219,48,26703
220,48,33134
221,48,12376
222,48,8306
223,49,65871
224,47,28304
225,48,31627
226,48,59533
227,49,40358
228,48,13544
229,48,9595
230,48,19128
231,49,32996
232,47,80889
233,48,78414
234,48,30734
235,48,75316
236,49,5779
237,49,9546
238,49,17698
239,47,89657
240,47,9261
241,48,12490
242,48,36248
243,48,10744
244,47,17557
245,48,25409
246,49,8830
247,48,21157
248,48,12145
249,49,25359
250,49,13248
251,48,7638
252,48,72977
253,49,15187
254,48,17597
255,47,77847
256,48,22504
257,49,17178
258,49,14373
259,49,29061
260,49,11805
261,49,28223
262,48,28421
263,48,7363
264,48,39592
265,49,21548
266,48,41194
267,47,53203
268,48,21385
269,48,25055
270,48,34736
271,48,18928
272,48,29153
273,48,8604
274,49,7844
275,48,8483
276,48,14023
277,48,36088
278,49,54471
279,48,16685
280,48,18982
281,49,8628
282,48,32821
283,48,9946
284,48,26656
285,47,30746
286,48,11374
287,48,18879
288,48,20918
289,48,40886
290,48,14561
291,48,7342
292,48,19237
293,48,13491
294,49,16950
295,47,30494
296,48,24179
297,49,15289
298,48,36618
299,48,16431
300,49,90041
301,49,27559
302,48,30050
303,49,23306
304,48,8006
305,48,16379
306,46,157772
307,48,8962
308,48,10898
309,48,28391
310,49,6844
311,49,17245
312,49,17972
313,49,8099
314,48,42649
315,48,42268
316,48,21889
317,49,35515
318,49,32484
319,49,24137
320,48,56785
321,47,52702
322,47,209705
323,48,63309
324,47,27994
325,47,25972
326,49,10260
327,48,20768
328,49,4831
329,48,8203
330,49,30061
331,48,3168
332,49,4801
333,48,48614
334,48,19106
335,48,5140
336,49,13792
337,49,13529
338,48,45927
339,49,15487
340,49,33364
341,49,7644
342,49,12431
343,47,16764
344,48,55652
345,48,5882
346,47,65068
347,47,29062
348,48,16918
349,49,36630
350,47,21458
351,49,24674
352,48,12189
353,49,64767
354,48,16129
355,49,48875
356,47,85515
357,48,16057
358,49,8912
359,49,38152
360,48,84228
361,48,17002
362,48,48011
363,48,20876
364,49,2736
365,49,12186
366,46,10507
367,49,8807
368,49,39174
369,49,9266
370,49,17802
371,48,43596
372,47,55744
373,49,50038
374,47,23307
375,47,48072
376,49,9366
377,49,8943
378,49,7788
379,48,24296
380,49,14119
381,48,23488
382,49,23131
383,48,10466
384,48,20183
385,46,14119
386,49,33083
387,48,14333
388,48,16746
389,48,37236
390,49,18122
391,48,16913
392,49,9900
393,49,7940
394,48,26676
395,49,9190
396,49,5293
397,47,18580
398,48,15183
399,48,13162
400,48,77332
401,48,11659
402,48,53259
403,48,23975
404,48,25760
405,49,103630
406,49,42133
407,47,72251
408,49,12042
409,48,37205
410,49,25465
411,47,41198
412,49,57438
413,47,20690
414,49,10305
415,48,26288
416,48,13201
417,48,40749
418,46,86375
419,49,19098
420,49,29144
421,48,28602
422,48,9427
423,48,70547
424,47,25298
425,49,11861
426,47,31273
427,48,20591
428,48,4493
429,48,60332
430,48,20465
431,49,26038
432,49,36228
433,49,31635
434,49,20172
435,49,4943
436,47,48310
437,47,91450
438,47,10670
439,49,19301
440,48,50782
441,49,14744
442,49,12479
443,49,8726
