id,mis,count
1,55,139
2,54,64
3,59,187
4,57,1204
5,56,144
6,56,283
7,56,2302
8,55,440
9,54,15
10,56,218
11,58,99
12,57,1333
13,56,125
14,58,265
15,54,109
16,58,82
17,56,95
18,57,121
19,54,121
20,58,1004
21,57,430
22,55,183
23,55,123
24,54,579
25,57,119
26,56,2004
27,57,370
28,54,288
29,56,365
30,55,52
31,57,172
32,57,1907
33,54,221
34,55,134
35,57,1999
36,55,149
37,57,327
38,53,711
39,56,73
40,57,313
41,56,1289
42,57,16
43,56,1208
44,58,742
45,56,2334
46,57,78
47,59,1112
48,56,869
49,56,147
50,55,140
51,57,774
52,58,336
53,56,442
54,56,425
55,57,321
56,53,2772
57,57,133
58,55,367
59,59,1059
60,56,299
61,56,157
62,56,394
63,56,572
64,55,563
65,56,200
66,55,504
67,56,248
68,57,705
69,55,524
70,57,220
71,58,135
72,57,45
73,58,369
74,56,745
75,58,239
76,56,253
77,54,166
78,58,204
79,56,87
80,55,174
81,57,372
82,56,260
83,56,115
84,55,568
85,57,281
86,55,19
87,56,79
88,57,539
89,55,341
90,56,198
91,57,490
92,56,437
93,57,57
94,55,242
95,57,869
96,56,457
97,59,360
98,56,693
99,56,929
100,54,185
101,56,720
102,58,45
103,57,687
104,54,380
105,57,37
106,56,329
107,56,50
108,56,157
109,55,21
110,56,110
111,56,644
112,54,44
113,57,253
114,54,510
115,57,1106
116,55,89
117,55,222
118,59,173
119,57,59
120,57,94
121,56,547
122,55,111
123,55,133
124,58,523
125,57,555
126,58,414
127,59,4
128,58,50
129,59,658
130,56,300
131,55,608
132,56,609
133,59,394
134,56,3510
135,57,178
136,57,194
137,56,582
138,58,140
139,57,233
140,56,189
141,59,214
142,57,243
143,56,113
144,58,99
145,57,145
146,57,181
147,55,382
148,56,195
149,58,404
150,57,832
151,59,70
152,58,99
153,57,78
154,57,41
155,57,936
156,55,332
157,56,546
158,57,124
159,57,295
160,56,227
161,56,31
162,57,113
163,55,303
164,58,187
165,58,142
166,55,202
167,57,247
168,58,866
169,57,377
170,58,1163
171,56,91
172,58,656
173,56,652
174,55,345
175,56,2335
176,57,1481
177,57,18
178,56,207
179,58,375
180,54,89
181,57,52
182,57,406
183,58,49
184,56,1037
185,55,228
186,57,601
187,56,249
188,56,34
189,58,488
190,55,1751
191,54,148
192,56,75
193,58,427
194,55,1712
195,57,166
196,58,154
197,58,111
198,56,986
199,55,463
200,54,95
201,57,24
202,57,476
203,57,366
204,55,1242
205,56,54
206,59,277
207,57,582
208,57,73
209,56,725
210,57,507
211,56,55
212,56,241
213,56,130
214,58,401
215,56,10
216,55,349
217,59,33
218,55,437
219,56,254
220,55,1088
221,54,296
222,58,189
223,57,2
224,56,26
225,56,202
226,57,73
227,55,168
228,59,58
229,57,106
230,55,60
231,57,431
232,57,4
233,56,789
234,57,241
235,55,862
236,59,14
237,55,270
238,58,1771
239,56,615
240,56,367
241,57,62
242,59,57
243,55,220
244,56,116
245,59,124
246,56,553
247,58,1117
248,56,495
249,57,79
250,55,332
251,55,314
252,59,973
253,59,254
254,56,471
255,57,40
256,58,470
257,57,194
258,56,181
259,56,434
260,56,100
261,57,561
262,57,324
263,58,53
264,56,1687
265,60,109
266,55,433
267,53,29
268,56,282
269,56,905
270,55,1022
271,56,1446
272,56,171
273,57,730
274,55,475
