id,mis,count
1,44,4648
2,44,3232
3,44,5132
4,44,3509
5,44,4008
6,45,1953
7,45,3745
8,44,4101
9,44,4002
10,44,4169
11,44,5500
12,44,3138
13,44,2120
14,43,5267
15,44,3766
16,44,3904
17,44,4807
18,44,4764
19,44,4777
20,44,3262
21,45,3635
22,45,3182
23,44,3277
24,44,4284
25,45,4449
26,44,5030
27,44,3669
28,44,5323
29,44,4392
30,45,3008
31,43,3988
32,45,3291
33,44,5170
34,45,4777
35,44,3837
36,45,3018
37,43,6528
38,44,3950
39,44,4454
40,45,4161
41,44,2721
42,43,3949
43,44,3808
44,44,2524
45,44,3647
46,43,4457
47,44,5092
48,45,4530
49,45,2667
50,44,4357
51,44,3721
52,44,4101
53,44,3778
54,44,3803
55,44,5116
56,44,5709
57,44,4257
58,46,2402
59,45,2718
60,44,3104
61,44,3110
62,44,4351
63,44,3904
64,44,3080
65,45,3895
66,44,3588
67,45,4375
68,44,5500
69,44,5012
70,44,5002
71,45,4536
72,44,3438
73,44,4792
74,44,4716
75,44,4598
76,44,3749
77,44,3673
78,44,5271
79,43,5234
80,44,5118
81,44,3489
82,44,4424
83,44,3769
84,44,3802
85,44,3674
86,44,4499
87,44,4138
88,44,3267
89,44,4688
90,44,3566
91,43,3366
92,44,3862
93,45,3843
94,43,3224
95,44,4052
96,45,3507
97,44,3470
98,43,4661
99,44,4456
100,43,8152
