id,mis,count
1,54,143
2,53,148
3,54,124
4,53,120
5,54,129
6,53,138
7,54,129
8,52,150
9,53,154
10,53,129
11,53,140
12,53,126
13,53,125
14,53,83
15,53,153
16,53,88
17,53,155
18,54,98
19,54,153
20,53,177
21,54,110
22,53,121
23,54,96
24,53,98
25,54,120
26,53,154
27,53,172
28,53,79
29,53,133
30,53,105
31,53,139
32,53,146
33,54,71
34,54,118
35,53,131
36,53,80
37,52,134
38,53,140
39,54,97
40,53,164
41,53,150
42,53,131
43,53,205
44,53,102
45,54,115
46,53,145
47,53,118
48,53,135
49,55,125
50,54,116
51,54,85
52,53,125
53,53,127
54,53,196
55,53,142
56,54,172
57,54,190
58,53,145
59,53,160
60,53,121
61,53,112
62,53,164
63,53,133
64,53,118
65,53,141
66,53,81
67,52,145
68,54,128
69,53,160
70,53,204
71,54,35
72,53,130
73,53,102
74,52,165
75,54,84
76,53,209
77,54,149
78,54,111
79,54,125
80,53,162
81,53,171
82,54,98
83,53,147
84,52,165
85,53,120
86,53,121
87,53,87
88,54,111
89,53,144
90,53,108
91,54,134
92,52,132
93,53,144
94,54,113
95,53,166
96,53,109
97,53,127
98,52,84
99,54,129
100,53,142
