id,mis,count
1,54,136
2,53,129
3,54,124
4,53,118
5,54,137
6,53,139
7,54,148
8,52,171
9,53,163
10,53,137
11,53,115
12,53,119
13,53,131
14,53,111
15,53,150
16,53,102
17,53,161
18,54,102
19,54,131
20,53,169
21,54,82
22,53,138
23,54,91
24,53,93
25,54,141
26,53,162
27,53,192
28,53,80
29,53,139
30,53,93
31,53,160
32,53,143
33,54,71
34,54,123
35,53,137
36,53,110
37,52,153
38,53,115
39,54,93
40,53,158
41,53,182
42,53,132
43,53,232
44,53,109
45,54,130
46,53,131
47,53,137
48,53,159
49,55,116
50,54,90
51,54,84
52,53,116
53,53,168
54,53,198
55,53,135
56,54,148
57,54,144
58,53,143
59,53,153
60,53,126
61,53,136
62,53,192
63,53,141
64,53,111
65,53,137
66,53,81
67,52,157
68,54,114
69,53,183
70,53,206
71,54,39
72,53,139
73,53,90
74,52,159
75,54,113
76,53,205
77,54,127
78,54,123
79,54,115
80,53,152
81,53,171
82,54,98
83,53,151
84,52,151
85,53,113
86,53,157
87,53,109
88,54,122
89,53,167
90,53,127
91,54,148
92,52,160
93,53,193
94,54,102
95,53,167
96,53,121
97,53,126
98,52,73
99,54,122
100,53,186
101,53,151
102,53,111
103,53,174
104,53,190
105,52,176
106,52,217
107,54,107
108,54,81
109,55,89
110,53,112
111,54,134
112,54,127
113,53,120
114,53,122
115,53,117
116,53,154
117,53,149
118,54,180
119,53,164
120,52,146
121,52,174
122,53,186
123,54,130
124,54,119
125,53,178
126,53,117
127,54,217
128,52,129
129,52,150
130,54,134
131,54,119
132,53,175
133,53,167
134,53,155
135,54,108
136,53,125
137,54,148
138,54,84
139,53,129
140,53,164
141,55,77
142,53,185
143,53,147
144,53,124
145,54,140
146,53,103
147,54,133
148,53,120
149,54,116
150,54,183
151,53,164
152,54,142
153,53,101
154,54,83
155,53,91
156,53,116
157,53,156
158,54,73
159,54,124
160,53,156
161,54,109
162,53,148
163,54,149
164,53,168
165,53,107
166,53,125
167,53,88
168,54,94
169,54,111
170,53,121
171,53,146
172,52,151
173,53,156
174,54,149
175,52,190
176,53,123
177,53,165
178,53,153
179,54,177
180,53,109
181,54,110
182,53,135
183,53,179
184,53,56
185,52,146
186,54,127
187,53,105
188,53,120
189,54,104
190,54,99
191,53,86
192,54,189
193,53,182
194,53,157
195,53,173
196,53,131
197,53,140
198,54,138
199,53,133
200,53,67
201,53,126
202,53,129
203,53,120
204,52,163
205,53,157
206,52,173
207,54,147
208,54,142
209,54,150
210,54,88
211,53,127
212,55,94
213,53,126
214,54,117
215,54,118
216,53,130
217,53,148
218,53,108
219,53,172
220,53,165
221,53,156
222,53,131
223,54,97
224,53,169
225,53,93
226,53,160
227,52,209
228,54,151
229,52,122
230,53,160
231,54,170
232,53,121
233,54,107
234,53,118
235,54,123
236,53,93
237,53,166
238,54,102
239,54,78
240,54,124
241,52,144
242,54,100
243,52,134
244,54,97
245,54,95
246,52,160
247,53,139
248,53,160
249,53,98
250,53,97
251,52,176
252,54,144
253,54,103
254,53,137
255,53,149
256,53,151
257,53,117
258,54,84
259,53,98
260,54,127
261,54,126
262,55,171
263,54,141
264,53,158
265,53,110
266,53,102
267,53,125
268,53,162
269,53,113
270,54,77
271,53,153
272,53,114
273,53,132
274,53,138
275,53,134
276,53,102
277,52,147
278,53,121
279,53,103
280,53,128
281,53,141
282,54,125
283,54,117
284,53,116
285,53,132
286,53,139
287,54,93
288,53,148
289,53,100
290,54,95
291,54,122
292,54,91
293,54,71
294,54,100
295,53,76
296,53,105
297,53,150
298,52,66
299,53,74
300,53,117
301,53,93
302,54,143
303,54,114
304,53,133
305,53,100
306,54,100
307,52,170
308,53,123
309,53,107
310,53,98
311,54,95
312,53,164
313,53,72
314,54,98
315,53,105
316,53,128
317,53,121
318,53,112
319,54,162
320,54,141
321,53,174
322,53,95
323,53,124
324,53,104
325,53,132
326,54,95
327,53,146
328,53,120
329,53,202
330,54,62
331,54,178
332,53,161
333,53,136
334,53,130
335,55,95
336,53,189
337,53,113
338,54,123
339,53,152
340,53,173
341,53,145
342,53,110
343,54,142
344,54,114
345,53,113
346,53,142
347,53,91
348,53,116
349,52,125
350,53,149
351,53,87
352,53,81
353,53,208
354,53,128
355,53,113
356,54,119
357,53,133
358,53,146
359,53,123
360,53,107
361,54,103
362,53,141
363,53,90
364,53,114
365,53,76
366,53,159
367,53,99
368,53,143
369,54,123
370,53,136
371,54,88
372,53,145
373,54,129
374,53,137
375,54,138
376,54,153
377,54,137
378,53,109
379,53,110
380,53,141
381,53,132
382,54,204
383,53,95
384,53,173
385,54,104
386,53,147
387,53,83
388,54,82
389,53,151
390,54,132
391,54,72
392,54,120
393,53,127
394,54,133
395,54,123
396,53,150
397,53,189
398,53,150
399,54,123
400,52,100
401,54,95
402,53,102
403,53,112
404,53,145
405,54,93
406,55,155
407,53,103
408,54,76
409,53,153
410,54,115
411,54,100
412,53,130
413,53,161
414,54,112
415,53,163
416,53,86
417,53,141
418,53,108
419,53,141
420,53,141
421,54,145
422,53,126
423,54,140
424,53,142
425,54,100
426,53,135
427,53,154
428,53,135
429,53,108
430,53,144
431,53,182
432,54,113
433,53,138
434,52,181
435,52,122
436,53,134
437,53,165
438,54,118
439,53,76
440,52,142
441,54,127
442,52,108
443,53,116
444,53,70
445,53,170
446,53,120
447,53,135
448,53,88
449,53,111
450,53,102
451,53,166
452,53,177
453,53,106
454,53,176
455,53,149
456,52,101
457,53,154
458,54,126
459,52,121
460,53,190
461,53,124
462,53,149
463,53,114
464,53,207
465,54,142
466,53,102
467,53,151
468,54,126
469,53,176
470,54,151
471,53,121
472,53,200
473,53,180
474,53,145
475,54,136
476,54,148
477,54,96
478,54,190
479,53,173
480,53,159
481,53,114
482,53,179
483,54,112
484,52,171
485,53,154
486,53,79
487,54,142
488,53,91
489,53,132
490,53,177
491,53,99
492,54,107
493,53,157
494,52,193
495,54,158
496,53,139
497,53,98
498,54,81
499,54,143
500,54,91
501,52,172
502,53,149
503,53,92
504,55,125
505,53,161
506,53,150
507,53,183
508,53,149
509,53,102
510,54,116
511,54,69
512,54,58
513,54,142
514,53,168
515,53,112
516,54,120
517,54,155
518,53,84
519,54,150
520,53,143
521,53,202
522,52,134
523,53,61
524,53,122
525,54,80
526,53,139
527,52,132
528,53,143
529,53,113
530,53,192
531,53,104
532,53,135
533,54,109
534,53,91
535,53,65
536,52,160
537,53,157
538,53,101
539,53,101
540,54,168
541,54,117
542,53,125
543,54,140
544,53,154
545,53,106
546,54,151
547,53,120
548,53,173
549,53,147
550,53,164
551,52,214
552,53,116
553,53,131
554,53,137
555,54,84
556,54,153
557,53,186
558,53,149
559,52,151
560,53,135
561,53,165
562,53,133
563,53,157
564,53,118
565,54,114
566,52,155
567,54,108
568,54,155
569,54,177
570,54,103
571,53,78
572,53,122
573,53,139
574,52,154
575,53,134
576,53,210
577,54,117
578,53,93
579,54,89
580,53,174
581,55,116
582,53,113
583,53,130
584,53,98
585,53,128
586,53,65
587,53,142
588,52,226
589,53,94
590,53,115
591,53,118
592,54,119
593,53,148
594,53,107
595,54,122
596,53,95
597,53,166
598,53,123
599,53,165
600,54,118
601,53,100
602,53,114
603,53,127
604,53,92
605,53,110
606,53,156
607,53,137
608,53,143
