id,mis,count
1,54,311
2,53,178
3,54,160
4,53,219
5,54,187
6,53,234
7,54,328
8,52,400
9,53,269
10,53,181
11,53,203
12,53,195
13,53,191
14,53,130
15,53,173
16,53,128
17,53,207
18,54,130
19,54,247
20,53,273
21,54,230
22,53,211
23,54,117
24,53,207
25,54,192
26,53,331
27,53,268
28,53,252
29,53,346
30,53,291
31,53,180
32,53,211
33,54,101
34,54,201
35,53,200
36,53,116
37,52,243
38,53,240
39,54,109
40,53,515
41,53,194
42,53,313
43,53,234
44,53,201
45,54,176
46,53,251
47,53,150
48,53,242
49,55,184
50,54,158
51,54,137
52,53,233
53,53,307
54,53,453
55,53,222
56,54,258
57,54,193
58,53,200
59,53,193
60,53,169
61,53,150
62,53,282
63,53,185
64,53,233
65,53,256
66,53,126
67,52,195
68,54,274
69,53,205
70,53,327
71,54,57
72,53,253
73,53,145
74,52,361
75,54,144
76,53,352
77,54,186
78,54,170
79,54,250
80,53,226
81,53,251
82,54,195
83,53,216
84,52,362
85,53,137
86,53,202
87,53,168
88,54,198
89,53,271
90,53,149
91,54,240
92,52,260
93,53,257
94,54,144
95,53,218
96,53,175
97,53,172
98,52,137
99,54,285
100,53,228
