id,mis,count
1,54,116
2,53,135
3,54,100
4,53,93
5,54,134
6,53,144
7,54,171
8,52,177
9,53,174
10,53,135
11,53,119
12,53,151
13,53,136
14,53,110
15,53,129
16,53,126
17,53,207
18,54,93
19,54,215
20,53,250
21,54,76
22,53,131
23,54,77
24,53,118
25,54,125
26,53,153
27,53,168
28,53,69
29,53,117
30,53,91
31,53,152
32,53,146
33,54,60
34,54,95
35,53,124
36,53,85
37,52,139
38,53,101
39,54,110
40,53,143
41,53,135
42,53,126
43,53,184
44,53,123
45,54,153
46,53,166
47,53,149
48,53,165
49,55,120
50,54,102
51,54,62
52,53,109
53,53,112
54,53,193
55,53,216
56,54,147
57,54,132
58,53,137
59,53,176
60,53,118
61,53,132
62,53,193
63,53,152
64,53,112
65,53,172
66,53,86
67,52,145
68,54,106
69,53,160
70,53,171
71,54,34
72,53,125
73,53,94
74,52,176
75,54,97
76,53,250
77,54,100
78,54,127
79,54,113
80,53,166
81,53,164
82,54,104
83,53,140
84,52,164
85,53,89
86,53,157
87,53,129
88,54,99
89,53,197
90,53,116
91,54,161
92,52,130
93,53,176
94,54,93
95,53,135
96,53,111
97,53,119
98,52,65
99,54,121
100,53,169
101,53,141
102,53,114
103,53,162
104,53,199
105,52,194
106,52,228
107,54,108
108,54,94
109,55,100
110,53,156
111,54,132
112,54,151
113,53,111
114,53,130
115,53,98
116,53,171
117,53,139
118,54,206
119,53,154
120,52,150
121,52,208
122,53,147
123,54,119
124,54,107
125,53,163
126,53,122
127,54,176
128,52,130
129,52,155
130,54,141
131,54,100
132,53,148
133,53,172
134,53,139
135,54,85
136,53,131
137,54,118
138,54,67
139,53,134
140,53,121
141,55,105
142,53,160
143,53,157
144,53,114
145,54,143
146,53,120
147,54,114
148,53,99
149,54,102
150,54,179
151,53,167
152,54,114
153,53,104
154,54,106
155,53,80
156,53,119
157,53,176
158,54,58
159,54,125
160,53,158
161,54,127
162,53,169
163,54,169
164,53,177
165,53,120
166,53,118
167,53,78
168,54,74
169,54,101
170,53,101
171,53,149
172,52,118
173,53,155
174,54,138
175,52,174
176,53,119
177,53,152
178,53,143
179,54,148
180,53,98
181,54,95
182,53,143
183,53,198
184,53,54
185,52,140
186,54,112
187,53,126
188,53,112
189,54,123
190,54,85
191,53,85
192,54,168
193,53,181
194,53,163
195,53,146
196,53,121
197,53,203
198,54,137
199,53,130
200,53,70
201,53,118
202,53,141
203,53,96
204,52,142
205,53,139
206,52,120
207,54,116
208,54,152
209,54,137
210,54,100
211,53,141
