id,mis,count
1,63,245
2,62,72
3,62,213
4,62,195
5,63,117
6,62,269
7,62,155
8,62,174
9,63,236
10,62,185
11,62,188
12,62,233
13,62,189
14,62,143
15,62,158
16,62,335
17,62,169
18,62,113
19,61,115
20,63,122
21,62,193
22,62,135
23,63,185
24,62,138
25,62,256
26,63,199
27,62,114
28,61,187
29,63,198
30,61,154
31,62,175
32,62,156
33,63,159
34,62,272
35,62,195
36,63,124
37,62,101
38,62,207
39,62,304
40,62,304
41,62,250
42,62,205
43,61,181
44,62,168
45,63,187
46,62,218
47,63,237
48,62,107
49,63,193
50,62,159
51,62,275
52,62,204
53,62,420
54,62,162
55,63,205
56,62,282
57,63,163
58,62,213
59,64,141
60,62,356
61,62,123
62,63,224
63,62,278
64,62,236
65,63,218
66,62,193
67,63,275
68,62,158
69,62,238
70,62,242
71,62,253
72,62,259
73,62,178
74,63,277
75,62,174
76,62,230
77,61,371
78,62,149
79,62,139
80,62,223
81,62,142
82,62,217
83,62,259
84,62,277
85,63,141
86,62,163
87,62,258
88,62,167
89,63,220
90,63,219
91,61,211
92,62,196
93,62,199
94,62,108
95,63,95
96,63,231
97,63,278
98,62,184
99,62,182
100,63,180
101,62,112
102,62,244
103,62,214
104,63,203
105,62,335
106,62,213
107,62,155
108,62,66
109,62,173
110,62,183
111,62,187
112,61,318
113,62,87
114,62,255
115,62,164
116,63,150
117,62,313
118,63,145
119,62,253
120,63,259
121,63,269
122,62,265
123,62,201
124,62,154
125,61,224
126,62,167
127,63,230
128,61,240
129,63,193
130,62,148
131,63,180
132,63,300
133,62,256
134,62,158
135,61,162
136,62,168
137,62,197
138,63,107
139,63,122
140,61,196
141,63,235
142,62,216
143,63,230
144,63,196
145,62,149
146,63,245
147,62,238
148,63,177
149,62,191
150,63,195
151,62,270
152,62,154
153,63,309
154,62,163
155,62,182
156,62,293
157,62,269
158,61,173
159,62,289
160,63,216
161,63,214
162,61,151
163,62,145
164,62,184
165,62,169
166,63,241
167,62,207
168,63,183
169,63,174
170,62,245
171,62,181
172,62,164
173,62,153
174,63,117
175,62,197
176,62,214
177,62,97
