id,mis,count
1,100,6922
2,97,7521
3,98,5919
4,99,5849
5,98,6391
6,99,5964
7,98,5786
8,99,8359
9,98,6488
10,98,9300
11,98,9841
12,97,7975
13,99,3382
14,98,7752
15,99,5233
16,98,8006
17,99,5570
18,98,8094
19,98,8180
20,99,6308
21,98,5400
22,98,4630
23,98,9443
24,98,6007
25,98,6099
26,98,5189
27,97,6405
28,97,6345
29,99,6352
30,98,6096
31,98,5995
32,98,4934
33,98,5075
34,98,6650
35,99,8822
36,98,6139
37,97,5332
38,98,5515
39,98,6453
40,98,6908
41,97,12153
42,98,7805
43,98,7523
44,98,4761
45,98,4329
46,98,3470
47,99,6151
48,99,8811
49,98,3580
50,98,5196
51,98,8450
52,98,5438
53,98,6702
54,99,5427
55,98,5227
56,99,7883
57,99,3174
58,99,7205
59,98,7278
60,98,4278
61,99,4456
62,98,6220
63,99,6455
64,98,5508
65,98,6191
66,99,6339
67,98,4322
68,98,6187
69,99,7695
70,98,4007
71,98,10388
72,98,8052
73,97,7773
74,98,5850
75,98,3190
76,98,6954
77,99,5152
78,98,9220
79,98,8627
80,98,4192
81,98,3976
82,98,4975
83,97,5947
84,98,8202
85,99,4303
86,98,5896
87,99,6137
88,98,7250
89,98,6833
90,98,7463
91,97,8390
92,98,7095
93,97,7633
94,98,9213
95,98,4827
96,98,7296
97,99,6739
98,99,5792
99,98,6709
100,98,8071
101,98,10190
102,99,7690
103,99,7811
104,98,9070
105,98,3752
106,98,5192
107,98,10675
108,97,5951
109,98,4357
110,98,6162
111,98,9630
112,99,5180
113,98,7083
114,98,4998
115,97,5149
116,98,5358
117,98,5823
118,99,5446
119,99,4726
120,99,8860
121,99,6253
122,97,7210
123,98,5191
124,99,10193
125,98,5789
126,99,5760
127,99,6786
128,98,8228
129,98,7080
130,99,6256
131,98,6289
132,99,4900
133,98,7687
134,99,5433
135,98,5374
136,98,7526
137,98,6212
138,98,3699
139,98,5332
140,97,4846
141,98,7916
142,98,11136
143,99,8959
144,97,4086
145,98,6174
146,98,5412
147,99,6641
148,98,4854
149,98,10313
150,97,8988
151,98,4644
152,99,4974
153,98,7216
154,98,6264
155,98,5453
156,99,7587
157,98,5733
158,98,7577
159,98,11109
160,98,8569
161,98,8161
162,98,4250
163,99,6555
164,97,9296
165,98,4437
166,98,5243
167,98,5286
168,98,7633
169,99,7149
170,98,7689
171,99,4602
172,98,6127
173,98,5760
174,98,7060
175,98,6730
176,98,10306
177,98,8076
178,98,5818
179,98,5283
180,98,6937
181,98,6646
182,99,4433
183,99,4357
184,99,9795
185,98,7147
186,99,5527
187,98,8024
188,98,5102
189,99,5827
190,99,6890
191,98,5606
192,98,4634
193,97,5024
194,97,12447
195,98,8404
196,99,4024
197,99,4810
198,98,5279
199,98,4591
200,99,4159
201,98,7894
202,99,6872
203,99,5143
204,98,7920
205,99,3677
206,99,8110
207,98,6541
208,100,5701
209,98,6127
210,98,5793
211,99,9660
212,98,7261
213,98,8040
214,98,7066
215,98,6029
216,98,8251
217,98,7783
218,99,6009
219,98,5781
220,97,7464
221,98,7330
222,99,6648
223,98,7088
224,98,4426
225,98,8543
226,98,9888
227,98,5136
228,98,5967
229,99,7486
230,98,5445
231,100,7209
232,98,5849
233,97,4301
234,98,4713
235,98,5831
236,98,9319
237,97,8262
238,98,5015
239,98,7682
240,97,8232
241,98,6460
242,98,4619
243,98,6233
244,98,6059
245,98,5153
246,98,6486
247,98,6930
248,99,3092
249,99,4417
250,98,3692
251,98,6791
252,99,8954
253,98,6369
254,98,6009
255,97,6709
256,98,6753
257,98,5337
258,98,7945
259,98,7668
260,98,8092
261,100,5181
262,98,5910
263,99,5331
264,98,7149
265,99,7858
266,99,5801
267,98,10057
268,98,3797
269,98,6647
270,97,10336
271,99,4795
272,98,12368
273,98,8249
274,98,7138
275,99,6184
276,98,7464
277,98,6629
278,99,7511
279,100,6560
280,98,3369
281,97,5969
282,100,6615
283,98,4634
284,98,4343
285,98,6671
286,99,5171
287,98,5149
288,98,6486
289,99,4619
290,98,6841
291,98,4217
292,98,8024
293,98,5082
294,98,8657
295,98,6662
296,99,10294
297,98,6269
298,99,5591
299,98,3504
300,97,5294
301,98,6187
302,99,6267
303,99,5755
304,98,3892
305,98,5164
306,98,7261
307,98,7327
308,97,6869
309,98,6374
310,98,5605
311,99,4635
312,99,5490
313,98,7427
314,98,6193
315,99,4890
316,98,5484
317,97,7406
318,99,3258
319,98,7026
320,98,9331
321,98,7157
322,98,4036
323,98,5483
324,99,5749
325,98,7465
326,98,6504
327,98,4848
328,98,8725
329,98,11260
330,98,8006
331,99,6908
332,98,8756
333,98,6699
334,97,6033
335,99,7695
336,98,3902
337,98,6645
338,98,10498
339,98,4763
340,98,5834
341,98,5452
342,98,6035
343,98,7377
344,97,7183
345,100,4978
346,99,9031
347,98,6744
348,98,6141
349,98,7887
350,98,5495
351,97,9321
352,98,7453
353,97,4913
354,97,8265
355,98,3754
356,98,8984
357,97,9306
358,98,7147
359,98,7407
360,98,4904
361,98,5451
362,98,5489
363,98,4209
364,99,6344
365,97,7821
366,98,10058
367,97,5896
368,99,3245
369,98,7063
370,98,5069
371,98,6477
372,99,5133
