id,mis,count
1,107,30680
2,106,25797
3,108,27581
4,107,20681
5,107,29330
6,108,17039
7,107,26714
8,108,25284
9,107,27838
10,107,32529
11,107,30852
12,107,22397
13,109,18485
14,108,26068
15,108,21358
16,106,34187
17,109,21481
18,105,26411
19,106,23364
20,107,35671
21,107,38555
22,107,29104
23,108,20152
24,107,28665
25,108,16856
26,108,20698
27,107,40770
28,107,23339
29,107,27476
30,107,32375
31,107,23795
32,108,17697
33,107,17546
34,106,26634
35,108,23489
36,109,18942
37,106,24384
38,107,24901
39,107,22570
40,107,36977
41,107,29475
42,107,31802
43,107,27514
44,107,25235
45,106,26175
46,107,23867
47,107,19516
48,107,34852
49,106,23347
50,107,26715
51,107,22773
52,107,27493
53,108,24467
54,108,25799
55,107,24941
56,108,33325
57,108,23179
58,107,20041
59,107,28149
60,107,24865
61,108,16676
62,107,33590
63,107,28508
64,109,22567
65,109,24645
66,106,23946
67,108,25591
68,107,21927
69,107,28133
70,107,26732
71,107,25138
72,107,29839
73,107,21386
74,108,24336
75,107,21234
76,106,26170
77,107,17110
78,107,33194
79,107,23129
80,107,19921
81,106,11988
82,106,21743
83,107,24827
84,108,17719
85,107,32915
86,107,20167
87,108,23559
88,107,25591
89,108,21292
90,108,24751
91,107,22947
92,107,22944
93,107,20483
94,107,25296
95,107,23856
96,107,20627
97,108,20353
98,106,34317
99,108,23585
100,107,24132
101,108,27136
102,107,32800
103,108,19187
104,106,38425
105,107,27288
106,107,29731
107,108,29448
108,106,23531
109,106,22275
110,106,43254
111,107,16919
112,107,27335
113,107,27675
114,107,23319
115,108,26966
116,107,24892
117,108,23680
118,106,25945
119,108,16552
120,107,21883
121,107,32408
122,108,29361
123,107,24706
124,109,22865
125,108,23863
126,107,23912
127,107,31680
128,108,27667
129,107,20441
130,108,18118
131,107,30877
132,107,30322
133,108,24290
134,107,25951
135,107,22277
136,106,32411
137,107,23805
138,108,18657
139,106,24667
140,107,26858
141,108,29916
142,108,24643
143,107,28303
144,108,22141
145,107,21223
146,106,23178
147,106,29390
148,107,43616
149,107,36807
150,106,34253
151,108,21143
152,106,34688
153,108,20739
154,107,41204
155,107,33005
156,109,24713
157,107,32290
158,106,32691
159,108,22930
160,106,28160
161,107,29127
162,108,24728
163,107,27409
164,107,32457
165,107,27702
166,108,20683
167,107,38186
168,107,23477
169,108,19699
170,106,34124
171,107,20543
172,106,30368
173,107,25150
174,107,29649
175,107,24512
176,107,24076
177,107,24251
178,107,29532
179,106,29151
180,107,18523
181,106,25244
182,108,15402
183,108,25575
184,108,23043
185,107,30527
186,106,31165
187,107,19692
188,107,20529
189,107,22859
190,107,31358
191,106,36376
192,107,30127
193,106,24521
194,107,27936
195,107,30707
196,108,19918
197,106,21774
198,106,23044
199,107,36547
200,107,32726
201,107,22195
202,107,27350
203,108,21392
204,106,35319
205,108,18953
206,108,29095
207,107,32479
208,107,28572
209,107,28934
210,107,24456
211,107,24395
212,108,25795
213,107,41100
214,108,24154
215,107,30082
216,107,31998
217,107,24953
218,108,27919
219,106,29455
220,107,23530
221,108,24322
222,108,17903
223,108,22395
224,107,25987
225,107,19783
226,107,33093
227,107,19382
228,107,24017
229,107,21261
230,108,17746
231,107,22079
232,108,21174
233,107,28861
234,106,25716
235,107,19785
236,107,25621
237,107,31031
238,107,37319
239,107,31693
240,106,35094
241,106,32254
242,107,22062
243,107,18397
244,107,26120
245,106,32717
246,108,18796
247,106,25834
248,108,18603
249,107,18745
250,107,21886
251,107,30816
252,106,28580
253,107,29131
254,107,30218
255,107,22561
256,107,32606
257,107,23217
258,106,22582
259,107,24213
260,108,16199
261,107,25290
262,107,25413
263,107,27166
264,107,28370
265,106,35983
266,107,34800
267,108,26873
268,107,22646
269,107,25017
270,107,31513
271,108,25670
272,106,32030
273,107,29748
274,107,22179
275,106,28801
276,107,28675
277,108,22207
278,108,21777
279,108,19308
280,108,26621
281,107,17149
282,107,25387
283,108,26093
284,107,27545
285,107,22603
286,107,31548
287,108,26758
288,107,18473
289,107,20740
290,106,32639
291,107,36560
292,106,25504
293,107,25157
294,106,26861
295,107,20724
296,108,39948
297,106,33880
298,108,35428
299,106,15961
300,107,27974
301,106,26783
302,107,21633
303,106,22812
304,107,29685
305,107,36298
306,108,15994
307,106,19392
308,107,25160
309,107,29263
310,108,17879
311,108,27541
312,107,19535
313,107,25356
314,107,21033
315,107,22885
316,107,25343
317,107,18892
318,107,27580
319,108,30332
320,108,31559
321,107,20730
322,107,31641
323,107,22036
324,108,21521
325,107,23000
326,107,24481
327,108,23278
328,107,28305
329,107,28600
330,108,24565
331,108,19781
332,106,19884
333,106,27623
334,107,24559
335,106,23999
336,107,21421
337,107,23286
338,107,29256
339,107,22344
340,108,20174
341,107,23764
342,109,22694
343,109,25316
344,106,23449
345,107,30177
346,108,20203
347,107,21120
348,107,21932
349,107,35768
350,107,25143
351,105,25411
352,107,24582
353,107,28874
354,107,20376
355,107,22667
356,107,26182
357,107,24265
358,106,21621
359,108,26127
360,107,22519
361,107,24695
362,108,24827
363,107,36146
364,108,49269
365,107,29440
366,106,27891
367,108,17578
368,108,19005
369,107,27485
370,107,24662
371,106,38207
372,107,31573
373,107,28864
374,107,32033
375,108,26463
376,107,27334
377,107,14099
378,107,35066
379,107,25175
380,108,18168
381,106,27986
382,108,22183
383,107,27064
384,107,23994
385,107,24485
386,108,22989
387,106,25072
388,106,26890
389,107,27489
390,107,34876
391,106,27248
392,108,16304
393,106,38342
394,108,20272
395,106,38362
396,106,31455
397,107,36514
398,106,23290
399,107,35657
400,108,27027
401,107,22256
402,107,21631
403,107,26915
404,107,19389
405,107,27388
406,107,19074
407,107,37960
408,108,21386
409,107,26869
410,107,26693
411,107,26913
412,107,27577
413,106,46314
414,107,19450
415,106,27927
416,107,23097
417,107,15937
418,108,21271
419,108,18995
420,107,24503
421,106,27793
422,107,23982
423,107,31737
424,107,24682
425,108,26868
426,108,28336
427,107,29175
428,108,16706
429,108,17568
430,107,26240
431,106,28622
432,107,36897
433,108,23210
434,106,31616
435,107,25130
436,107,25203
437,107,26818
438,108,25540
439,107,26639
440,106,23691
441,107,21499
442,108,27320
443,106,15561
444,107,24343
445,107,34669
446,108,25462
447,106,21736
448,106,33344
449,107,23241
450,107,28662
451,107,32993
